method,width,initial_lambda,initial_gamma,final_lambda,final_gamma,h,retained_rank,train_count,steps,npert,function_evaluations,best_train_relative_mse,validation_relative_l2,test_relative_l2,elapsed_seconds
full,8,0.4,1.0,0.4,1.0,0.4,9,129,8192,8,131201,8.630039978616565e-05,0.008849838437478035,0.008886744175576219,3.620178699493408
full,16,0.14285714285714285,0.5,0.14285714285714285,0.5,0.2857142857142857,17,129,8192,8,131201,3.8340097714890493e-16,2.106252230341702e-08,1.982956113879387e-08,3.69559383392334
full,32,0.17391304347826086,2.0,0.17391304347826086,2.0,0.08695652173913043,33,129,8192,8,131201,2.857547817185868e-22,2.0782286695494693e-11,1.91443090091994e-11,3.683225154876709
full,64,0.3090909090909091,8.5,0.3090909090909091,8.5,0.03636363636363636,65,257,8192,8,131201,4.8720057006754124e-26,4.2139817794278516e-13,3.558692334487823e-13,3.652372121810913
full,128,0.1680672268907563,10.0,0.1680672268907563,10.0,0.01680672268907563,129,513,8192,8,131201,1.0786843647049838e-25,5.250008772437567e-13,4.5461857302643457e-13,3.7060012817382812
full,256,0.5182186234817814,64.0,0.5182186234817814,64.0,0.008097165991902834,257,1025,8192,8,131201,5.638137644764842e-18,2.3891278324193044e-09,2.3844044577853358e-09,3.6829776763916016
full,512,0.0019880715705765406,0.5,0.0019880715705765406,0.5,0.003976143141153081,513,2049,8192,8,131201,1.0,1.0,1.0,3.8047034740448
full,1024,0.0009852216748768472,0.5,0.0009852216748768472,0.5,0.0019704433497536944,1025,4097,8192,8,131201,1.0,1.0,1.0,8.61289930343628
partial,8,0.4,1.0,0.4,1.0,0.4,9,129,8192,8,131201,8.630039978616565e-05,0.008849838437478035,0.008886744175576219,3.621814489364624
partial,16,0.14285714285714285,0.5,0.14285714285714285,0.5,0.2857142857142857,17,129,8192,8,131201,3.8340097714890493e-16,2.106252230341702e-08,1.982956113879387e-08,3.701772689819336
partial,32,0.17391304347826086,2.0,0.17391304347826086,2.0,0.08695652173913043,33,129,8192,8,131201,5.77188859128367e-21,8.087436784094206e-11,7.848977200769697e-11,3.672457695007324
partial,64,0.3090909090909091,8.5,0.3090909090909091,8.5,0.03636363636363636,65,257,8192,8,131201,3.625269491665429e-07,0.0006022769650456516,0.0006022019533454039,3.6405186653137207
partial,128,0.20168067226890757,12.0,0.20168067226890757,12.0,0.01680672268907563,129,513,8192,8,131201,8.951040369381645e-06,0.0029936107643332476,0.002992801020455595,3.6962616443634033
partial,256,0.12955465587044535,16.0,0.12955465587044535,16.0,0.008097165991902834,257,1025,8192,8,131201,0.00018674657481374215,0.013760225569600545,0.013767814938546133,3.6768388748168945
partial,512,0.0019880715705765406,0.5,0.0019880715705765406,0.5,0.003976143141153081,513,2049,8192,8,131201,1.0,1.0,1.0,3.7086148262023926
partial,1024,0.0009852216748768472,0.5,0.0009852216748768472,0.5,0.0019704433497536944,1025,4097,8192,8,131201,1.0,1.0,1.0,8.187296390533447
