n,seed,coordinates,eta,comparison_step,key,completed_updates,failed_update,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_20k_mse,half_window_ratio,zero_native_steps,zero_physical_steps,sign_crossings,endpoint_mse,validation_mse,lambda_core_abs_quantiles,lambda_halo_abs_quantiles,negative_slopes,mean_late_delta_c_rms,mean_late_delta_gamma_rms,physical_gamma_rate,physical_scaled_ordinary_readout_rate
1024,0,scaled_differences,0.003,1000000,N1024_s0_scaled_differences_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,0,scaled_differences,0.1,1000000,N1024_s0_scaled_differences_eta0.1,61,62,False,,,,,,,,,,,,,,,,,,
1024,0,scaled,0.003,1000000,N1024_s0_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,0,scaled,0.1,1000000,N1024_s0_scaled_eta0.1,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled_differences,0.003,1000000,N1024_s1_scaled_differences_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled_differences,0.1,1000000,N1024_s1_scaled_differences_eta0.1,62,63,False,,,,,,,,,,,,,,,,,,
1024,1,scaled,0.003,1000000,N1024_s1_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled,0.1,1000000,N1024_s1_scaled_eta0.1,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.0001,1000000,N512_s0_scaled_differences_eta0.0001,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.0003,1000000,N512_s0_scaled_differences_eta0.0003,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.001,1000000,N512_s0_scaled_differences_eta0.001,100000,,False,,,,,,,,,,,,,,,,,,
