n,seed,coordinates,eta,comparison_step,key,completed_updates,failed_update,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_20k_mse,half_window_ratio,zero_native_steps,zero_physical_steps,sign_crossings,endpoint_mse,validation_mse,lambda_core_abs_quantiles,lambda_halo_abs_quantiles,negative_slopes,mean_late_delta_c_rms,mean_late_delta_gamma_rms,physical_gamma_rate,physical_scaled_ordinary_readout_rate
1024,0,scaled_differences,0.003,13000000,N1024_s0_scaled_differences_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,0,scaled_differences,0.1,13000000,N1024_s0_scaled_differences_eta0.1,61,62,False,,,,,,,,,,,,,,,,,,
1024,0,scaled,0.003,13000000,N1024_s0_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,0,scaled,0.1,13000000,N1024_s0_scaled_eta0.1,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled_differences,0.003,13000000,N1024_s1_scaled_differences_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled_differences,0.1,13000000,N1024_s1_scaled_differences_eta0.1,62,63,False,,,,,,,,,,,,,,,,,,
1024,1,scaled,0.003,13000000,N1024_s1_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
1024,1,scaled,0.1,13000000,N1024_s1_scaled_eta0.1,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.0001,13000000,N512_s0_scaled_differences_eta0.0001,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.0003,13000000,N512_s0_scaled_differences_eta0.0003,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.001,13000000,N512_s0_scaled_differences_eta0.001,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.003,13000000,N512_s0_scaled_differences_eta0.003,13100000,,True,3.846758073514001e-06,1.5142694424394783e-06,1.3772393372043175e-06,1.0174379337764221e-05,4.112610708327112e-06,1.034121441640819,0,0,221749,4.331217313702531e-06,4.322248904660775e-06,"[7.449936565455378e-06, 0.0014334250835440477, 0.00599327520831896, 0.0204811333251409, 0.04660234508236783]","[0.00012895515442810297, 0.00042628761311160984, 0.0010342768446786864, 0.006224787691058118, 0.044220757335599874]",259,2.3384405336056268e-06,0.0013222653396861518,196.608,2.5988960201343023e-05
512,0,scaled_differences,0.01,13000000,N512_s0_scaled_differences_eta0.01,118,119,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.03,13000000,N512_s0_scaled_differences_eta0.03,84,85,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.1,13000000,N512_s0_scaled_differences_eta0.1,65,66,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.3,13000000,N512_s0_scaled_differences_eta0.3,54,55,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,1e-05,13000000,N512_s0_scaled_differences_eta1e-05,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,3e-05,13000000,N512_s0_scaled_differences_eta3e-05,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.0001,13000000,N512_s0_scaled_eta0.0001,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.0003,13000000,N512_s0_scaled_eta0.0003,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.001,13000000,N512_s0_scaled_eta0.001,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.003,13000000,N512_s0_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.01,13000000,N512_s0_scaled_eta0.01,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.03,13000000,N512_s0_scaled_eta0.03,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,0.1,13000000,N512_s0_scaled_eta0.1,13300000,,True,8.082957208512e-09,4.738444312731879e-12,8.07472743142763e-09,8.091196947306694e-09,8.099401097282633e-09,0.9989851595417698,0,0,1120,8.074725792978203e-09,7.962828621525342e-09,"[0.0021231429716158773, 0.005072435687110899, 0.053984988324669345, 0.07799288601850637, 0.20863739129162195]","[0.020348850807694534, 0.03386402263241102, 0.07951053234577315, 0.1754043350862698, 0.3478353966968659]",250,2.0101407451119777e-06,7.823695468434627e-05,6553.6,0.0008662986733781008
512,0,scaled,0.3,13000000,N512_s0_scaled_eta0.3,245,246,False,,,,,,,,,,,,,,,,,,
512,0,scaled,1e-05,13000000,N512_s0_scaled_eta1e-05,100000,,False,,,,,,,,,,,,,,,,,,
512,0,scaled,3e-05,13000000,N512_s0_scaled_eta3e-05,100000,,False,,,,,,,,,,,,,,,,,,
512,1,scaled_differences,0.003,13000000,N512_s1_scaled_differences_eta0.003,13006000,,True,4.478737576072419e-07,2.3030143688488496e-07,1.7483650965693732e-07,1.5296470669248363e-06,4.2366103595297254e-07,1.0241567884403142,0,0,96485,1.7449247045712492e-07,1.7438337399579847e-07,"[6.309568928651549e-06, 0.0010856936886216545, 0.0047975405491107615, 0.016785721877488707, 0.06150715797528988]","[2.6493708356092913e-06, 0.0011295474162105676, 0.0041512360766528325, 0.0179180540806111, 0.06878727478126918]",259,9.827337794444015e-07,0.0004860989304783308,196.608,2.5988960201343023e-05
512,1,scaled_differences,0.1,13000000,N512_s1_scaled_differences_eta0.1,65,66,False,,,,,,,,,,,,,,,,,,
512,1,scaled,0.003,13000000,N512_s1_scaled_eta0.003,100000,,False,,,,,,,,,,,,,,,,,,
512,1,scaled,0.1,13000000,N512_s1_scaled_eta0.1,13253000,,True,8.855434189290132e-09,4.658580106546016e-12,8.847109031797213e-09,8.863768864348593e-09,8.871570291605773e-09,0.9990908338104353,0,0,1930,8.847107423572349e-09,8.784506397455404e-09,"[1.3051397981589118e-07, 0.0036926029674588363, 0.058499215005529376, 0.08110182410233581, 0.16475163737071893]","[1.4888484635127944e-07, 1.6650708997796194e-06, 0.0713567154942611, 0.15022079857706228, 0.24068365313013995]",270,2.8923092242016115e-06,0.000125300814385155,6553.6,0.0008662986733781008
