JobID|State|ElapsedRaw|AllocTRES
351_0|CANCELLED by 1003|317|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
351_1|CANCELLED by 1003|317|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
353_0|COMPLETED|8|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
354_0|COMPLETED|69|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
354_1|COMPLETED|73|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
358_0|COMPLETED|25|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
358_1|COMPLETED|26|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
361_0|COMPLETED|114|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
361_1|COMPLETED|123|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
364_0|COMPLETED|200|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
364_1|COMPLETED|205|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
367_0|COMPLETED|870|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
367_1|COMPLETED|894|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
371_0|COMPLETED|1773|billing=2,cpu=2,gres/gpu=1,mem=32G,node=1
371_1|COMPLETED|1773|billing=2,cpu=2,gres/gpu=1,mem=32G,node=1
