n,seed,coordinates,eta,key,completed_updates,failed_update,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_20k_mse,half_window_ratio,zero_native_steps,zero_physical_steps,sign_crossings,endpoint_mse,validation_mse,lambda_core_abs_quantiles,lambda_halo_abs_quantiles,negative_slopes,mean_late_delta_c_rms,mean_late_delta_gamma_rms,physical_gamma_rate,physical_scaled_ordinary_readout_rate
1024,0,scaled_differences,0.003,N1024_s0_scaled_differences_eta0.003,100000,,True,2.2408612932727694e-05,9.740122162850734e-06,1.1239478854602853e-05,4.996388285371533e-05,2.8562386847773625e-05,0.9020584514227746,0,0,41501,1.595298565400469e-05,1.5936833992009992e-05,"[2.105715950462518e-06, 0.00024819433970165513, 0.0012333673818199118, 0.005759745582178084, 0.06413117848111237]","[4.300976639075568e-05, 0.0005436904312900552, 0.002066639917117849, 0.011737627728258326, 0.05822609468129552]",393,7.452448152613094e-06,0.0041491906525092425,786.432,1.2323687600481375e-05
1024,0,scaled_differences,0.1,N1024_s0_scaled_differences_eta0.1,61,62,False,,,,,,,,,,,,,,,,,,
1024,0,scaled,0.003,N1024_s0_scaled_eta0.003,100000,,True,0.0015472620342761732,0.000235370959342625,0.0011973435801636968,0.002013992042222571,0.0029006878112731935,0.7687520252650362,0,0,164075,0.0011972920396794977,0.0011965614987330653,"[0.0008614561961654418, 0.0008874191910154055, 0.0037778571726299454, 0.04827843162038001, 0.12418683990021337]","[0.0006930600183722216, 0.01010675033010647, 0.012124486204400799, 0.017323262820788665, 0.10221329111406012]",533,1.2039286837817727e-06,0.0020432954694589167,786.432,1.2323687600481375e-05
1024,0,scaled,0.1,N1024_s0_scaled_eta0.1,100000,,True,2.1454847311840715e-06,1.68558236314835e-07,1.8770263546626113e-06,2.4633436346601253e-06,2.9325661044462436e-06,0.8730337340157465,0,0,871,1.8770036089174639e-06,1.8520824004448894e-06,"[0.0013585467276619166, 0.005182577456171153, 0.041313321309362876, 0.06204583704834676, 0.10740447724954719]","[0.018539248950327953, 0.024976949172192685, 0.05659899630649265, 0.0921271383191842, 0.6165552669976911]",533,1.2616495015006513e-09,1.6280406281819453e-05,26214.4,0.00041078958668271256
1024,1,scaled_differences,0.003,N1024_s1_scaled_differences_eta0.003,100000,,True,4.673489447494592e-05,1.1354192079982e-05,2.1399522911045796e-05,9.378024151250127e-05,5.506122067646378e-05,0.9266764219447464,0,0,28741,6.749886569641729e-05,6.747021886616296e-05,"[6.504042428027158e-07, 0.00012035854738457167, 0.0008476822762394365, 0.005658873326850336, 0.06427188848763445]","[9.762024429141304e-06, 0.0005125783679652146, 0.0028728013959928226, 0.015522968972403158, 0.025173236661280036]",473,8.755508535442699e-06,0.006407524981403992,786.432,1.2323687600481375e-05
1024,1,scaled_differences,0.1,N1024_s1_scaled_differences_eta0.1,62,63,False,,,,,,,,,,,,,,,,,,
1024,1,scaled,0.003,N1024_s1_scaled_eta0.003,100000,,True,0.0035132449186686407,0.00042038498034194054,0.0028574538208242864,0.00428976694129856,0.005705109716264784,0.811118796056586,0,0,66447,0.002857403510808591,0.0028565229909867647,"[0.0002759565322394752, 0.0013532648886684822, 0.0033564938635085393, 0.05796245970362561, 0.14124802821558066]","[0.008768308694410165, 0.009201252727984681, 0.012322065308387531, 0.019415885796611645, 0.1056688754638865]",545,2.2788962250700194e-08,9.204259369742661e-05,786.432,1.2323687600481375e-05
1024,1,scaled,0.1,N1024_s1_scaled_eta0.1,100000,,True,1.8417221186505455e-06,1.393864628662786e-07,1.6195132572159047e-06,2.1044922720404935e-06,2.4950772224895255e-06,0.8774080407106807,0,0,899,1.619494376817667e-06,1.5984927101081704e-06,"[0.0013993273231931442, 0.005491349583604155, 0.04178169100319584, 0.06362649914106527, 0.1047037281277552]","[0.014452343300873562, 0.02392258285976597, 0.050780676612121295, 0.0968842535046493, 0.4727679994176803]",557,1.165740619998837e-09,1.5022007410861815e-05,26214.4,0.00041078958668271256
512,0,scaled_differences,0.0001,N512_s0_scaled_differences_eta0.0001,100000,,True,0.04639837185097763,0.003710528399778072,0.04000951465333046,0.05398780391697945,0.06425023581480854,0.872720902891847,0,0,14161,0.04122000460536935,0.04121365214753071,"[5.709067361386391e-06, 0.00043477012051163546, 0.001414754473690331, 0.0035195602299776057, 0.06436339537083687]","[0.00022897688730982022, 0.0013678691756804225, 0.0023995830458611624, 0.022093705673627617, 0.025301165119483993]",269,2.4387560496350147e-05,0.011292084060954676,6.5536,8.662986733781008e-07
512,0,scaled_differences,0.0003,N512_s0_scaled_differences_eta0.0003,100000,,True,0.34962018411680496,0.003874500262225015,0.34532744916695207,0.35390297777923796,0.3506359528873104,0.9989306880750672,0,0,15561,0.35317974471354735,0.3530051791083932,"[1.978477072378492e-05, 0.0006380775876248592, 0.001042099778838428, 0.003058683866236352, 0.022206144257868692]","[0.0007526899276915183, 0.0012543917172342508, 0.0015002593634657277, 0.0030623761746296566, 0.0033124553176922707]",265,4.94012938669031e-05,0.033680211450041006,19.6608,2.598896020134302e-06
