JobID|JobIDRaw|State|ElapsedRaw|Start|End|ExitCode|AllocTRES
498|498|COMPLETED|72|2026-09-19T18:48:21|2026-09-19T18:49:33|0:0|billing=4,cpu=4,mem=16G,node=1
499|499|COMPLETED|93|2026-09-19T18:54:33|2026-09-19T18:56:06|0:0|billing=4,cpu=4,mem=16G,node=1
500_0|501|COMPLETED|56|2026-09-19T18:56:06|2026-09-19T18:57:02|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
500_1|500|COMPLETED|56|2026-09-19T18:56:06|2026-09-19T18:57:02|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
502_0|503|COMPLETED|1991|2026-09-19T18:57:04|2026-09-19T19:30:15|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
502_1|502|COMPLETED|2039|2026-09-19T18:57:04|2026-09-19T19:31:03|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
504|504|COMPLETED|46|2026-09-19T19:08:04|2026-09-19T19:08:50|0:0|billing=8,cpu=8,mem=64G,node=1
505|505|COMPLETED|94|2026-09-19T19:14:57|2026-09-19T19:16:31|0:0|billing=8,cpu=8,mem=64G,node=1
506|506|COMPLETED|74|2026-09-19T19:16:31|2026-09-19T19:17:45|0:0|billing=8,cpu=8,mem=24G,node=1
507|507|COMPLETED|55|2026-09-19T19:28:59|2026-09-19T19:29:54|0:0|billing=8,cpu=8,mem=24G,node=1
508|508|COMPLETED|324|2026-09-19T19:31:03|2026-09-19T19:36:27|0:0|billing=8,cpu=8,mem=64G,node=1
509_0|510|COMPLETED|4922|2026-09-19T19:32:16|2026-09-19T20:54:18|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
509_1|509|COMPLETED|4922|2026-09-19T19:32:16|2026-09-19T20:54:18|0:0|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1
511|511|COMPLETED|125|2026-09-19T19:36:27|2026-09-19T19:38:32|0:0|billing=8,cpu=8,mem=24G,node=1
512|512|COMPLETED|346|2026-09-19T20:54:18|2026-09-19T21:00:04|0:0|billing=8,cpu=8,mem=64G,node=1
513|513|COMPLETED|74|2026-09-19T21:00:04|2026-09-19T21:01:18|0:0|billing=8,cpu=8,mem=24G,node=1
514|514|COMPLETED|24|2026-09-19T20:54:18|2026-09-19T20:54:42|0:0|billing=2,cpu=2,mem=4G,node=1
515|515|COMPLETED|57|2026-09-19T20:00:45|2026-09-19T20:01:42|0:0|billing=8,cpu=8,mem=24G,node=1
