JobID|JobName|State|ExitCode|ElapsedRaw|AllocTRES
381_0|expD06-parameter-scale|COMPLETED|0:0|185|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
381_1|expD06-parameter-scale|COMPLETED|0:0|188|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
384_0|expD06-parameter-scale|COMPLETED|0:0|238|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
384_1|expD06-parameter-scale|COMPLETED|0:0|247|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
386|expD06-parameter-analysis|COMPLETED|0:0|43|billing=8,cpu=8,mem=48G,node=1
387_0|expD06-parameter-scale|COMPLETED|0:0|1209|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
387_1|expD06-parameter-scale|COMPLETED|0:0|1329|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
389|expD06-parameter-analysis|COMPLETED|0:0|14|billing=8,cpu=8,mem=48G,node=1
390|expD06-parameter-analysis|COMPLETED|0:0|285|billing=8,cpu=8,mem=48G,node=1
391_0|expD06-parameter-scale|COMPLETED|0:0|1740|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
391_1|expD06-parameter-scale|COMPLETED|0:0|1843|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
393|expD06-parameter-analysis|COMPLETED|0:0|15|billing=8,cpu=8,mem=48G,node=1
394|expD06-parameter-analysis|COMPLETED|0:0|53|billing=8,cpu=8,mem=48G,node=1
395_1|expD06-parameter-scale|COMPLETED|0:0|96|billing=4,cpu=4,gres/gpu=1,mem=32G,node=1
396|expD06-parameter-analysis|COMPLETED|0:0|326|billing=8,cpu=8,mem=48G,node=1
