bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N128_s0,128,0,0,moment3,moment9,0.0001,73,99980,-0.002253967964144468,0.0017045134051869135,0.3253594001097221,0.0024012930922553354,0.002381388040695681,0.002708396217984387,0.3253594001097221,0.002709549889419076
core_N128_s0,128,0,0,moment3,moment9,0.001,73,99980,-0.00225099080028901,0.0017053059149111777,0.32537911588812807,0.002400697955887119,0.0023789091235270343,0.002708396217984387,0.32537911588812807,0.002708529891939478
core_N128_s0,128,0,0,moment3,moment9,0.01,73,99980,-0.0022217502712053028,0.0017132352622619487,0.32558023967328115,0.0023948109679654416,0.0023545444246939745,0.002708396217984387,0.32558023967328115,0.0026986876289655398
core_N128_s0,128,0,0,moment3,moment9,0.1,73,99980,-0.00193451304420858,0.001793142650380055,0.32793141202327675,0.0023423362009721165,0.0022167434979622758,0.002708396217984387,0.32793141202327675,0.0026072650933688267
core_N128_s0,128,0,0,moment3,moment9,1.0,73,99980,-0.0005009127119517259,0.0028549475526497455,0.36494643210987116,0.0022835549179816414,0.001828464587362924,0.0028549475526497455,0.36494643210987116,0.0022835549179816414
core_N128_s0,128,0,0,moment3,moment9,10.0,73,99980,0.05191910778375927,0.005703988872688983,1.9122535426786351,0.0011583435835090506,0.05191910778375927,0.11220044257418789,2.066547190371315,0.02090015507060004
core_N128_s0,128,0,0,moment3,moment9,100.0,73,99980,0.030718280566136902,0.0012134123268906414,1.0955289976392781,0.00016299993643832488,0.030718280566136902,0.13861211630674558,1.4265165173887173,0.008982380668040134
core_N128_s0,128,0,0,moment5,moment9,0.0001,73,99980,3.6653483226317674e-05,1.1609196911441906e-05,0.0023109897114058572,1.0009560304455289e-05,3.6653483226317674e-05,1.1609196911441906e-05,0.0023109897114058572,1.0009560304455289e-05
core_N128_s0,128,0,0,moment5,moment9,0.001,73,99980,3.664051784127431e-05,1.160764192661679e-05,0.0023106900130175413,1.0003579860302932e-05,3.664051784127431e-05,1.160764192661679e-05,0.0023106900130175413,1.0003579860302932e-05
core_N128_s0,128,0,0,moment5,moment9,0.01,73,99980,3.651323520934002e-05,1.159234494894282e-05,0.0023077408837450172,9.944384316916622e-06,3.651323520934002e-05,1.159234494894282e-05,0.0023077408837450172,9.944384316916622e-06
core_N128_s0,128,0,0,moment5,moment9,0.1,73,99980,3.6686905944757764e-05,1.1460714002320132e-05,0.0022822962225399375,9.406608254862694e-06,3.6686905944757764e-05,1.1460714002320132e-05,0.0022822962225399375,9.406608254862694e-06
core_N128_s0,128,0,0,moment5,moment9,1.0,73,99980,3.442920926123583e-05,1.093586121675355e-05,0.0021797415806576927,6.6270626405614715e-06,3.442920926123583e-05,1.093586121675355e-05,0.0021797415806576927,6.6270626405614715e-06
core_N128_s0,128,0,0,moment5,moment9,10.0,73,99980,3.438672347269578e-05,1.0608004302865207e-05,0.0021151211318489963,3.6437430955295685e-06,3.438672347269578e-05,1.0649779869958487e-05,0.0021151211318489963,3.644120032611722e-06
core_N128_s0,128,0,0,moment5,moment9,100.0,73,99980,3.458447334113435e-05,1.0613088892960053e-05,0.0021106285832848304,3.002301542124797e-06,3.458447334113435e-05,1.0727951922194479e-05,0.0021106285832848304,3.031177750565793e-06
core_N128_s0,128,0,1,moment3,moment9,0.0001,73,99980,-2.7755575615628914e-17,4.077820034584466e-17,1.4129331596997227e-15,7.3434354326142e-17,2.7755575615628914e-17,8.366003554272718e-17,1.4129331596997227e-15,1.46868708652284e-16
