bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
core_N128_s0,sine,128,0,0,0.0001,-0.0033767746273713345,-0.0033767746273713345,0.0
core_N128_s0,sine,128,0,0,0.001,-0.00337112376333866,-0.00337112376333866,0.0
core_N128_s0,sine,128,0,0,0.01,-0.0033154972513252112,-0.0033154972513252112,0.0
core_N128_s0,sine,128,0,0,0.1,-0.002824007406744794,-0.002824007406744794,0.0
core_N128_s0,sine,128,0,0,1.0,0.0,0.0,0.0
core_N128_s0,sine,128,0,0,10.0,0.001867309855338825,0.001867309855338825,0.0
core_N128_s0,sine,128,0,0,100.0,0.020001456915500163,0.020001456915500163,0.0
core_N128_s0,runge,128,0,0,0.0001,-0.005000035875555947,-0.005000035875555947,0.0
core_N128_s0,runge,128,0,0,0.001,-0.004995102688482453,-0.004995102688482453,0.0
core_N128_s0,runge,128,0,0,0.01,-0.004946101399138009,-0.004946101399138009,0.0
core_N128_s0,runge,128,0,0,0.1,-0.004485616449169547,-0.004485616449169547,0.0
core_N128_s0,runge,128,0,0,1.0,0.0,0.0,0.0
core_N128_s0,runge,128,0,0,10.0,0.0075841294207352195,0.0075841294207352195,0.0
core_N128_s0,runge,128,0,0,100.0,0.0016891353406090354,0.0016891353406090354,0.0
core_N128_s0,moment3,128,0,0,0.0001,-0.00031011777408321284,-0.00031011777408321284,0.0
core_N128_s0,moment3,128,0,0,0.001,-0.0003096654664384024,-0.0003096654664384024,0.0
core_N128_s0,moment3,128,0,0,0.01,-0.0003054696055825312,-0.0003054696055825312,0.0
core_N128_s0,moment3,128,0,0,0.1,-0.0002457190776023743,-0.0002457190776023743,0.0
core_N128_s0,moment3,128,0,0,1.0,0.0,0.0,0.0
core_N128_s0,moment3,128,0,0,10.0,0.050878011272232196,0.050878011272232196,0.0
core_N128_s0,moment3,128,0,0,100.0,0.0293223859430867,0.0293223859430867,0.0
core_N128_s0,moment5,128,0,0,0.0001,0.0014463293761008272,0.0014463293761008272,0.0
core_N128_s0,moment5,128,0,0,0.001,0.001443789849274249,0.001443789849274249,0.0
core_N128_s0,moment5,128,0,0,0.01,0.0014186010080192712,0.0014186010080192712,0.0
core_N128_s0,moment5,128,0,0,0.1,0.0011913028526968766,0.0011913028526968766,0.0
core_N128_s0,moment5,128,0,0,1.0,0.0,0.0,0.0
core_N128_s0,moment5,128,0,0,10.0,-0.0015443662000040326,-0.0015443662000040326,0.0
core_N128_s0,moment5,128,0,0,100.0,-0.0018960947738650702,-0.0018960947738650702,0.0
core_N128_s0,moment9,128,0,0,0.0001,0.0014441046713981887,0.0014441046713981887,0.0
core_N128_s0,moment9,128,0,0,0.001,0.0014415781125362015,0.0014415781125362015,0.0
core_N128_s0,moment9,128,0,0,0.01,0.001416516579233168,0.001416516579233168,0.0
core_N128_s0,moment9,128,0,0,0.1,0.0011890447147836908,0.0011890447147836908,0.0
core_N128_s0,moment9,128,0,0,1.0,0.0,0.0,0.0
core_N128_s0,moment9,128,0,0,10.0,-0.00154432372293202,-0.00154432372293202,0.0
core_N128_s0,moment9,128,0,0,100.0,-0.0018962501954469108,-0.0018962501954469108,0.0
core_N128_s0,sine,128,0,1,0.0001,-0.0033767746273713345,-0.0021835276811652954,0.001193246946206039
core_N128_s0,sine,128,0,1,0.001,-0.00337112376333866,-0.0021788685008295033,0.0011922552625091565
core_N128_s0,sine,128,0,1,0.01,-0.0033154972513252112,-0.002133114358549529,0.0011823828927756824
core_N128_s0,sine,128,0,1,0.1,-0.002824007406744794,-0.0016818966448720746,0.0011421107618727194
core_N128_s0,sine,128,0,1,1.0,0.0,0.0,0.0
core_N128_s0,sine,128,0,1,10.0,0.001867309855338825,0.0009186779937771922,-0.0009486318615616329
core_N128_s0,sine,128,0,1,100.0,0.020001456915500163,0.001030478594120171,-0.01897097832137999
core_N128_s0,runge,128,0,1,0.0001,-0.005000035875555947,-0.001440726806179085,0.003559309069376862
core_N128_s0,runge,128,0,1,0.001,-0.004995102688482453,-0.0014381716757625035,0.0035569310127199494
core_N128_s0,runge,128,0,1,0.01,-0.004946101399138009,-0.00141287789874589,0.0035332235003921186
core_N128_s0,runge,128,0,1,0.1,-0.004485616449169547,-0.0011839170859418852,0.0033016993632276614
core_N128_s0,runge,128,0,1,1.0,0.0,0.0,0.0
core_N128_s0,runge,128,0,1,10.0,0.0075841294207352195,0.0013001891106633884,-0.006283940310071831
core_N128_s0,runge,128,0,1,100.0,0.0016891353406090354,0.001557555803636812,-0.00013157953697222335
core_N128_s0,moment3,128,0,1,0.0001,-0.00031011777408321284,0.0014042809502963632,0.001714398724379576
core_N128_s0,moment3,128,0,1,0.001,-0.0003096654664384024,0.0014018736829361778,0.0017115391493745802
