bundle,target,seed,n,degree,kappa,count,last_step,last_gradient_absolute_error,last_gradient_relative_error,last_signed_change_actual,last_signed_change_reference,last_signed_change_absolute_error,last_slope_parameter_l2_error,last_signed_force_actual,last_signed_force_reference,last_residual_moment_l2_error,last_median_gamma_error,max_abs_gradient_absolute_error,max_abs_gradient_relative_error,max_abs_signed_change_actual,max_abs_signed_change_reference,max_abs_signed_change_absolute_error,max_abs_slope_parameter_l2_error,max_abs_signed_force_actual,max_abs_signed_force_reference,max_abs_residual_moment_l2_error,max_abs_median_gamma_error,first_gradient_error_above_5pct
core_N128_s0,sine,0,128,1,0.0001,73,99980,0.0005628856487022636,1.0000000000000027,-0.0062695803818842155,-0.0032287985000152147,0.0030407818818690008,0.13090622597229407,-1.2629957568242288e-05,1.2333577823893233e-18,0.0006690296554845408,0.0021760088470033356,0.012725960046008932,1.0000061304956795,0.0062695803818842155,0.003392730539834146,0.0030407818818690008,0.13090622597229407,0.006613108593731057,0.006814621404901296,0.005097918702786472,0.0021760088470033356,1620
core_N128_s0,sine,0,128,1,0.001,73,99980,0.000562850092577524,1.000000000000003,-0.006263930196682629,-0.0032241393196794227,0.0030397908770032067,0.13089901833187922,-1.2612986759730313e-05,1.395192320775243e-18,0.0006690262087389892,0.0021276231317656907,0.012725960046008932,1.0000064037445557,0.006263930196682629,0.0033882146908737337,0.0030397908770032067,0.13089901833187922,0.006613108593731057,0.006814621404901296,0.005097175738454522,0.0021276231317656907,1620
core_N128_s0,sine,0,128,1,0.01,73,99980,0.0005624876030370439,1.0000000000000056,-0.006208310443936826,-0.003178385177399448,0.0030299252665373783,0.1308246314314175,-1.2444004783629527e-05,1.7982234627908766e-18,0.0006689529854072753,0.0016457756649083805,0.012725960046008932,1.000008855393716,0.006208310443936826,0.0033434787879065286,0.0030299252665373783,0.1308246314314175,0.006613108593731057,0.006814621404901296,0.0050899293899116255,0.0020707943877585205,1620
core_N128_s0,sine,0,128,1,0.1,73,99980,0.0005583682442070533,1.000000000000031,-0.0057168743407808725,-0.002727167463721994,0.0029897068770588786,0.12990364838829999,-1.1100471998096575e-05,1.5857026639667434e-18,0.0006649018813838993,0.001337230752561272,0.012725960046008932,1.0002568638087388,0.0057168743407808725,0.003082729765628303,0.0029897068770588786,0.12990364838829999,0.006613108593731057,0.006814621404901296,0.005031018061932126,0.001337230752561272,1420
core_N128_s0,sine,0,128,1,1.0,73,99980,0.0005284296323814834,1.0000000000000788,-0.0028930357104369475,-0.0010452708188499193,0.0018477648915870282,0.12107340972303376,-6.881156568297069e-06,1.5218650466980458e-18,0.0005503699004857622,-0.001990788418483297,0.012725960046008932,1.015633911461067,0.0028930357104369475,0.001657030149112143,0.0018477648915870282,0.12107340972303376,0.006613108593731057,0.006814621404901296,0.00469902615160214,0.001990788418483297,920
core_N128_s0,sine,0,128,1,10.0,73,99980,0.0005716245666368118,1.0,-0.0010260326472150277,-0.00012659282507272718,0.0008994398221423006,0.11126355519906606,7.879966490635963e-07,-0.0,0.0003632328701068984,6.007502387740671e-05,0.012725960046008932,1.0647918481414906,0.001028504998589988,0.00030103472485200344,0.0009019121735172608,0.11126355519906606,0.006613108593731057,0.006814621404901296,0.004163569542478252,0.0005590707899495451,200
core_N128_s0,sine,0,128,1,100.0,73,99980,0.02114155686875999,1.0,0.017105264152815797,-1.4792224729748282e-05,0.017120056377545545,1.163304696078131,7.302821122791545e-05,-0.0,0.10538075549121242,-0.013057197421704053,0.02114155686875999,1.0848551844332992,0.017105264152815797,3.5040325303131725e-05,0.017120056377545545,1.163304696078131,0.006613108593731057,0.006814621404901296,0.10538075549121242,0.013057197421704053,19
core_N128_s0,runge,0,128,1,0.0001,73,99980,0.003591599308639482,0.9999999999999957,0.005201273619977215,-0.003029191135319187,0.008230464755296402,0.5065901284922273,7.11121074294209e-05,-4.044031140693754e-18,0.004346049053479876,0.007257433672634039,0.008172119595279376,0.9999999999999957,0.005201273619977215,0.003029191135319187,0.008230464755296402,0.5065901284922273,0.003061020049382076,0.0031971951853914517,0.00595962839408406,0.007440705493124006,1220
core_N128_s0,runge,0,128,1,0.001,73,99980,0.0035956562811871157,0.9999999999999959,0.005206204429828776,-0.0030266360049026053,0.008232840434731381,0.5068424508570906,7.117152098094647e-05,-3.994771944362883e-18,0.004352001450852343,0.007284714254651353,0.008172119595279376,0.9999999999999959,0.005206204429828776,0.0030266360049026053,0.008232840434731381,0.5068424508570906,0.003061020049382076,0.0031971951853914517,0.005955531801727517,0.007453292242083673,1220
core_N128_s0,runge,0,128,1,0.01,73,99980,0.003636406941116167,0.9999999999999964,0.0052551819828671464,-0.003001342227885992,0.008256524210753138,0.5093552857450799,7.176475798025742e-05,-4.0216288859105116e-18,0.004411842894659827,0.0075557546285098115,0.008172119595279376,0.9999999999999964,0.0052551819828671464,0.003001342227885992,0.008256524210753138,0.5093552857450799,0.003061020049382076,0.0031971951853914517,0.005914538928591058,0.007580056737569951,1220
