bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N64_s0,64,0,0,moment3,moment9,0.0001,1019,19980,-0.004787406178188389,0.003181539070772066,0.1435430068471446,0.0035444862099945824,0.004787406178188389,0.004120607996009969,0.1435430068471446,0.003948140750541993
core_N64_s0,64,0,0,moment3,moment9,0.001,1019,19980,-0.004791363007508251,0.003181439423178165,0.14354098540515942,0.0035442521803088836,0.004791363007508251,0.004120607996009969,0.14354098540515942,0.003948308168013063
core_N64_s0,64,0,0,moment3,moment9,0.01,1019,19980,-0.004830581712295529,0.0031804306121431774,0.14352008552676046,0.0035418852263501823,0.004830581712295529,0.004120607996009969,0.14352008552676046,0.003949890941682096
core_N64_s0,64,0,0,moment3,moment9,0.1,1019,19980,-0.004947495866454307,0.0031691197849287862,0.1432453938770833,0.003515654467501197,0.004947495866454307,0.004120607996009969,0.1432453938770833,0.00395673256460648
core_N64_s0,64,0,0,moment3,moment9,1.0,1019,19980,-0.004051214109301565,0.003036039865554389,0.13848327448700068,0.0031907790858437188,0.004051214109301565,0.004120607996009969,0.13848327448700068,0.003688998057153644
core_N64_s0,64,0,0,moment3,moment9,10.0,1019,19980,-0.003054113015631854,0.003488543546103461,0.13060947183635388,0.0026278781730777697,0.003054113015631854,0.004120607996009969,0.13060947183635388,0.002788885165750254
core_N64_s0,64,0,0,moment3,moment9,100.0,1019,19980,0.03999707764502555,0.007352581205232675,1.3803001582650596,0.0006276748818006797,0.03999707764502555,0.2806156753121211,1.3901105677711636,0.020624560992820864
core_N64_s0,64,0,0,moment5,moment9,0.0001,1019,19980,6.75296393252145e-05,6.112462400963412e-05,0.0023469539175848242,3.437112090974433e-05,6.75296393252145e-05,6.112462400963412e-05,0.0023469539175848242,3.437112090974433e-05
core_N64_s0,64,0,0,moment5,moment9,0.001,1019,19980,6.749027840019517e-05,6.110746977225664e-05,0.0023463872371021514,3.435824083583312e-05,6.749027840019517e-05,6.110746977225664e-05,0.0023463872371021514,3.435824083583312e-05
core_N64_s0,64,0,0,moment5,moment9,0.01,1019,19980,6.710037425458615e-05,6.093708929492479e-05,0.0023407529924684665,3.423007973034179e-05,6.710037425458615e-05,6.093708929492479e-05,0.0023407529924684665,3.423007973034179e-05
core_N64_s0,64,0,0,moment5,moment9,0.1,1019,19980,6.354061272614842e-05,5.9339825012158174e-05,0.0022874318907621467,3.300377209168365e-05,6.354061272614842e-05,5.9339825012158174e-05,0.0022874318907621467,3.300377209168365e-05
core_N64_s0,64,0,0,moment5,moment9,1.0,1019,19980,5.697537704293931e-05,4.9682124926190753e-05,0.001948671959819174,2.445764902845109e-05,5.697537704293931e-05,4.9682124926190753e-05,0.001948671959819174,2.445764902845109e-05
core_N64_s0,64,0,0,moment5,moment9,10.0,1019,19980,4.166042893144484e-05,3.742560548705451e-05,0.001488036359776338,1.2718858539910272e-05,4.166042893144484e-05,3.742560548705451e-05,0.001488036359776338,1.271908663745491e-05
core_N64_s0,64,0,0,moment5,moment9,100.0,1019,19980,3.889833905446061e-05,3.5043500397658154e-05,0.0013905262103149714,1.036423437252358e-05,3.889833905446061e-05,3.5043500397658154e-05,0.0013905262103149714,1.0522142703713696e-05
core_N64_s0,64,0,1,moment3,moment9,0.0001,1019,19980,0.0,3.890447861755606e-17,4.016259499707305e-16,4.807407289046552e-17,5.551115123125783e-17,1.5561791447132421e-16,4.2891629920405103e-16,2.00148324148528e-16
core_N64_s0,64,0,1,moment3,moment9,0.001,1019,19980,0.0,3.890667950341448e-17,4.4104043741357465e-16,7.3434354326142e-17,5.551115123125783e-17,1.5562671801341346e-16,4.442179402001915e-16,2.00148324148528e-16
core_N64_s0,64,0,1,moment3,moment9,0.01,1019,19980,0.0,3.8928408174405343e-17,3.7115380711752797e-16,4.807407289046552e-17,5.551115123125783e-17,1.6096280305306567e-16,3.7251343835979724e-16,2.2204462477736986e-16
core_N64_s0,64,0,1,moment3,moment9,0.1,1019,19980,0.0,3.912123688294013e-17,4.726795205444679e-16,7.3434354326142e-17,5.551115123125783e-17,1.5475663456925312e-16,4.80944067004101e-16,2.271891790129781e-16
core_N64_s0,64,0,1,moment3,moment9,1.0,1019,19980,0.0,4.001527993559474e-17,4.1548189014651844e-16,4.807407289046552e-17,5.551115123125783e-17,1.5907769562727508e-16,4.189117002023953e-16,2.2204462477736986e-16
core_N64_s0,64,0,1,moment3,moment9,10.0,1019,19980,0.0,1.2479892293777598e-31,1.6709395213623084e-16,0.0,2.7755575615628914e-17,8.463140763721427e-17,1.674880063971544e-16,1.46868708652284e-16
core_N64_s0,64,0,1,moment3,moment9,100.0,1019,19980,0.0,4.109000241571286e-17,5.763878168445254e-17,4.807407289046552e-17,0.0,1.2327000724713863e-16,5.806143056334548e-17,1.46868708652284e-16
core_N64_s0,64,0,1,moment5,moment9,0.0001,1019,19980,0.0,0.0,5.071099960962022e-16,5.551115123125783e-17,5.551115123125783e-17,1.6509120527064313e-16,5.224751257950071e-16,2.93737417304568e-16
core_N64_s0,64,0,1,moment5,moment9,0.001,1019,19980,-2.7755575615628914e-17,6.693706745936829e-30,5.332497358729262e-16,0.0,5.551115123125783e-17,1.639984720230956e-16,5.356258964265136e-16,2.93737417304568e-16
