JobID|JobName|State|ExitCode|ElapsedRaw|Start|End|AllocTRES
520|race-verify|FAILED|2:0|3|2026-09-20T05:02:24|2026-09-20T05:02:27|billing=4,cpu=4,mem=16G,node=1
521|race-setup|COMPLETED|0:0|120|2026-09-20T05:06:09|2026-09-20T05:08:09|billing=4,cpu=4,mem=16G,node=1
522|readout-race|COMPLETED|0:0|40|2026-09-20T05:12:08|2026-09-20T05:12:48|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
523|readout-race|COMPLETED|0:0|66|2026-09-20T05:12:08|2026-09-20T05:13:14|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
524|readout-race|COMPLETED|0:0|337|2026-09-20T05:16:55|2026-09-20T05:22:32|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
525|readout-race|COMPLETED|0:0|306|2026-09-20T05:16:55|2026-09-20T05:22:01|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
526|race-analysis|CANCELLED by 1003|0:0|517|2026-09-20T05:22:10|2026-09-20T05:30:47|billing=4,cpu=4,mem=48G,node=1
527|readout-race|COMPLETED|0:0|97|2026-09-20T05:22:57|2026-09-20T05:24:34|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
528|readout-race|COMPLETED|0:0|416|2026-09-20T05:22:57|2026-09-20T05:29:53|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
529|readout-race|COMPLETED|0:0|289|2026-09-20T05:24:34|2026-09-20T05:29:23|billing=4,cpu=4,gres/gpu=1,mem=48G,node=1
530|race-analysis|CANCELLED by 1003|0:0|227|2026-09-20T05:27:00|2026-09-20T05:30:47|billing=4,cpu=4,mem=48G,node=1
531|race-analysis|COMPLETED|0:0|770|2026-09-20T05:29:23|2026-09-20T05:42:13|billing=4,cpu=4,mem=48G,node=1
532|race-analysis|COMPLETED|0:0|1329|2026-09-20T05:29:53|2026-09-20T05:52:02|billing=4,cpu=4,mem=48G,node=1
533|race-analysis|COMPLETED|0:0|188|2026-09-20T05:32:29|2026-09-20T05:35:37|billing=4,cpu=4,mem=48G,node=1
