bundle,target,seed,n,degree,kappa,count,last_step,last_gradient_absolute_error,last_gradient_relative_error,last_signed_change_actual,last_signed_change_reference,last_signed_change_absolute_error,last_slope_parameter_l2_error,last_signed_force_actual,last_signed_force_reference,last_residual_moment_l2_error,last_median_gamma_error,max_abs_gradient_absolute_error,max_abs_gradient_relative_error,max_abs_signed_change_actual,max_abs_signed_change_reference,max_abs_signed_change_absolute_error,max_abs_slope_parameter_l2_error,max_abs_signed_force_actual,max_abs_signed_force_reference,max_abs_residual_moment_l2_error,max_abs_median_gamma_error,first_gradient_error_above_5pct
refine_N128_s0,sine,0,128,1,0.0001,74,199980,0.0005628722346008977,1.0000000000000062,-0.006269876806016164,-0.0032287982480167787,0.0030410785579993854,0.1309178870593675,-1.2629660870617078e-05,2.9292247464886538e-18,0.0006690157416159291,0.0021767475271811665,0.012725960046008932,1.0000078217490163,0.006269876806016164,0.0033906672937489973,0.0030410785579993854,0.1309178870593675,0.006613108593731057,0.006814621404901296,0.005099040094227509,0.0021767475271811665,3160
refine_N128_s0,sine,0,128,1,0.001,74,199980,0.0005628367116772425,1.0000000000000064,-0.006264224125091561,-0.0032241368017498356,0.0030400873233417253,0.13091068712183473,-1.261269006025359e-05,2.9454061433479525e-18,0.0006690123324493069,0.0021283583518117294,0.012725960046008932,1.0000083482089759,0.006264224125091561,0.003386291104746239,0.0030400873233417253,0.13091068712183473,0.006613108593731057,0.006814621404901296,0.0050981466758912766,0.0021283583518117294,3160
refine_N128_s0,sine,0,128,1,0.01,74,199980,0.0005624745520141564,1.0000000000000109,-0.006208579598043079,-0.003178360202499106,0.0030302193955439732,0.13083637633693906,-1.2443707936326322e-05,3.596448425407707e-18,0.0006689394795044438,0.0016464762934495503,0.012725960046008932,1.0000131030400645,0.006208579598043079,0.003342927584994354,0.0030302193955439732,0.13083637633693906,0.006613108593731057,0.006814621404901296,0.005089465053474109,0.0019858652154019496,3160
refine_N128_s0,sine,0,128,1,0.1,74,199980,0.0005583583017267096,1.0000000000000642,-0.005716916396232244,-0.002726927645114008,0.002989988751118236,0.12991607440374014,-1.1100160956481271e-05,3.2933836074173753e-18,0.0006648915972074492,0.0013375930875164366,0.012725960046008932,1.0001555504904287,0.005716916396232244,0.0030860749179443814,0.002989988751118236,0.12991607440374014,0.006613108593731057,0.006814621404901296,0.005023053377950788,0.0013375930875164366,2720
refine_N128_s0,sine,0,128,1,1.0,74,199980,0.0005284407114989688,1.0000000000001579,-0.002891807806742322,-0.0010438451248171443,0.0018479626819251777,0.12108937686634644,-6.88058847474145e-06,3.0436898357433042e-18,0.0005503718991496008,-0.001992602882570707,0.012725960046008932,1.0135294561484633,0.002891807806742322,0.0016557159503221563,0.0018479626819251777,0.12108937686634644,0.006613108593731057,0.006814621404901296,0.004696354810867374,0.001992602882570707,1720
refine_N128_s0,sine,0,128,1,10.0,74,199980,0.0005717217019613893,1.000000000000026,-0.0010230865268253259,-0.00012370298160196969,0.0008993835452233562,0.1112864045229483,7.905746498267736e-07,4.988910910764936e-19,0.0003632404795988743,5.913256116155119e-05,0.012725960046008932,1.071867509126392,0.0010243751666499379,0.0002986205809964171,0.0009006721850479682,0.1112864045229483,0.006613108593731057,0.006814621404901296,0.004168020421893893,0.0005821029459722321,440
refine_N128_s0,sine,0,128,1,100.0,74,199980,0.021074915683142494,1.0,0.01711098657807153,-1.1313116311612026e-05,0.017122299694383142,1.1640557893390757,7.108993716694927e-05,-0.0,0.1054566545294601,-0.013052957097231713,0.021074915683142494,1.0912200309820779,0.01711098657807153,3.226087492813612e-05,0.017122299694383142,1.1640557893390757,0.006613108593731057,0.006814621404901296,0.1054566545294601,0.013052957097231713,40
refine_N128_s0,runge,0,128,1,0.0001,74,199980,0.0035918953302799045,0.9999999999999918,0.00520266937123616,-0.003029191080794566,0.008231860452030726,0.5066603626007863,7.111921083171023e-05,-8.034270666813798e-18,0.004346818675505666,0.00725743070340111,0.008172119595279376,0.9999999999999918,0.00520266937123616,0.003029191080794566,0.008231860452030726,0.5066603626007863,0.003061020049382076,0.0031971951853914517,0.005944230230255557,0.007487184034118077,2340
refine_N128_s0,runge,0,128,1,0.001,74,199980,0.0035959539659394736,0.9999999999999918,0.005207602801309566,-0.0030266354600875234,0.00823423826139709,0.5069128188946346,7.117865189501592e-05,-8.022448497622614e-18,0.004352774359875634,0.00728471171088968,0.008172119595279376,0.9999999999999918,0.005207602801309566,0.0030266354600875234,0.00823423826139709,0.5069128188946346,0.003061020049382076,0.0031971951853914517,0.005939227476385164,0.007499863085040928,2340
refine_N128_s0,runge,0,128,1,0.01,74,199980,0.0036367214745786996,0.9999999999999927,0.005256606467877817,-0.0030013368228880982,0.008257943290765915,0.5094269939851117,7.177216499642717e-05,-7.990335924237983e-18,0.004412649083918244,0.007555756221267501,0.008172119595279376,0.9999999999999927,0.005256606467877817,0.0030013368228880982,0.008257943290765915,0.5094269939851117,0.003061020049382076,0.0031971951853914517,0.005889509160470402,0.007627522846813131,2340
