bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
refine_N128_s0,128,0,0,moment3,moment9,0.0001,2019,39980,-0.0010393546919143654,0.0017828707721153972,0.07556916391271487,0.0025934076476415153,0.0010393546919143654,0.002708396217984387,0.07556916391271487,0.0027101731866145226
refine_N128_s0,128,0,0,moment3,moment9,0.001,2019,39980,-0.0010391458463529235,0.0017827807092963299,0.07556723754530988,0.0025924123335748154,0.0010391458463529235,0.002708396217984387,0.07556723754530988,0.0027091675403205025
refine_N128_s0,128,0,0,moment3,moment9,0.01,2019,39980,-0.001037116938627028,0.00178190909791291,0.07554874484407147,0.002582542123044749,0.001037116938627028,0.002708396217984387,0.07554874484407147,0.002699196011991133
refine_N128_s0,128,0,0,moment3,moment9,0.1,2019,39980,-0.001026847673957304,0.0017756770355361912,0.0754295581300846,0.0024914472151781933,0.001026847673957304,0.002708396217984387,0.0754295581300846,0.002607296321154996
refine_N128_s0,128,0,0,moment3,moment9,1.0,2019,39980,-0.0010670268088614626,0.0017939238551591577,0.07628752945163396,0.00199267368808808,0.0010670268088614626,0.002708396217984387,0.07628752945163396,0.0021031889877358412
refine_N128_s0,128,0,0,moment3,moment9,10.0,2019,39980,-0.0010101225140772274,0.0019525943169454065,0.07965668498709624,0.00144552771984729,0.0010101225140772274,0.002708396217984387,0.07965668498709624,0.0015138300823349042
refine_N128_s0,128,0,0,moment3,moment9,100.0,2019,39980,0.0009425992298747743,0.007462214892491377,0.11986849002156232,0.0016316846791450527,0.0009425992298747743,0.007462214892491377,0.11986849002156232,0.0016316846791450527
refine_N128_s0,128,0,0,moment5,moment9,0.0001,2019,39980,7.315157412313145e-06,1.1576244530520431e-05,0.0004565829697511964,9.995765700911195e-06,7.315157412313145e-06,1.1576244530520431e-05,0.0004565829697511964,9.995765700911195e-06
refine_N128_s0,128,0,0,moment5,moment9,0.001,2019,39980,7.312585249830139e-06,1.1574669321159767e-05,0.000456533186830153,9.989794959634674e-06,7.312585249830139e-06,1.1574669321159767e-05,0.000456533186830153,9.989794959634674e-06
refine_N128_s0,128,0,0,moment5,moment9,0.01,2019,39980,7.287324668564521e-06,1.1559168806198292e-05,0.000456042968951386,9.9306950983404e-06,7.287324668564521e-06,1.1559168806198292e-05,0.000456042968951386,9.9306950983404e-06
