bundle,target,seed,n,degree,kappa,count,last_step,last_loss_discrepancy,last_sample_gradient_error,last_fraction_preactivation_above_radius,last_coarse_discrete_derivative_error,last_tanh_at_reference_slope_gradient_defect,max_abs_loss_discrepancy,max_abs_sample_gradient_error,max_abs_fraction_preactivation_above_radius,max_abs_coarse_discrete_derivative_error,pointwise_p2_checks,pointwise_p2_violations,pointwise_p2_max_error_bound_ratio,pointwise_p4_checks,pointwise_p4_violations,pointwise_p4_max_error_bound_ratio,pointwise_p6_checks,pointwise_p6_violations,pointwise_p6_max_error_bound_ratio,pointwise_p8_checks,pointwise_p8_violations,pointwise_p8_max_error_bound_ratio,max_abs_tanh_at_reference_slope_gradient_defect
refine_N128_s0,sine,0,128,0,0.0001,72,39980,0.0,2.027086125405035e-16,0.0,2.537579843001056e-12,,1.1102230246251565e-16,1.3388798263128545e-15,0.0,2.0527336985304975e-06,72,0,0.19180118750338174,72,0,0.10198169622602356,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.001,72,39980,-2.7755575615628914e-17,1.8765484287713612e-16,0.0,2.569001417140337e-12,,1.1102230246251565e-16,1.3002406603130583e-15,0.0,1.9767978897700175e-06,72,0,0.19180118750338174,72,0,0.10198169622602356,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.01,72,39980,-2.7755575615628914e-17,2.0774654273450917e-16,0.0,2.5006618459398823e-12,,5.551115123125783e-17,1.2823557163666169e-15,0.0,1.253187959419388e-06,72,0,0.19180118750338174,72,0,0.10198169622602356,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.1,72,39980,2.7755575615628914e-17,2.0477776327825993e-16,0.0,2.2354876251296913e-12,,5.551115123125783e-17,1.2530877034416743e-15,0.0,7.103453100057582e-06,72,0,0.19180118750338174,72,0,0.10198169622602356,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,1.0,72,39980,0.0,2.0467617540621646e-16,0.0,4.9693535374191476e-12,,5.551115123125783e-17,1.3086200000214207e-15,0.0,8.812179381511597e-05,72,0,0.19209362178490566,72,0,0.10198815904288662,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,10.0,72,39980,-5.551115123125783e-17,1.9566277288581984e-16,0.0,2.1649377838585352e-11,,5.551115123125783e-17,1.2137168059226512e-15,0.0,0.0008986244781419481,72,0,0.19292863983318445,72,0,0.10230265961720392,72,0,0.06084097555194329,72,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,100.0,72,39980,0.0,2.4381428148032725e-16,0.0,1.9923614114616776e-09,,5.551115123125783e-17,1.1939758769471066e-15,0.0,0.009003676454711214,72,0,0.1938323701838892,72,0,0.10267802439599097,72,0,0.06082466599615305,72,0,0.03947202995610766,
refine_N128_s0,runge,0,128,0,0.0001,72,39980,-6.938893903907228e-18,1.525278171597998e-16,0.0,5.3311048192806125e-11,,5.551115123125783e-17,1.7827589924891315e-15,0.0,3.7145952316237434e-06,72,0,0.1177403514994599,72,0,0.06365440903073509,72,0,0.0392970496407174,72,0,0.026160718384792638,
refine_N128_s0,runge,0,128,0,0.001,72,39980,0.0,1.4860101892195526e-16,0.0,5.283927566771649e-11,,5.551115123125783e-17,1.8673865047910217e-15,0.0,3.5917180679326094e-06,72,0,0.11775986354565966,72,0,0.06366478377565082,72,0,0.039304765388413765,72,0,0.0261655684697666,
refine_N128_s0,runge,0,128,0,0.01,72,39980,1.3877787807814457e-17,1.3960149421585423e-16,0.0,4.7985285382675445e-11,,5.551115123125783e-17,1.7248880394979944e-15,0.0,2.518290347882109e-06,72,0,0.11795032925448358,72,0,0.06376608447270017,72,0,0.03938070201561165,72,0,0.02621327940120441,
refine_N128_s0,runge,0,128,0,0.1,72,39980,0.0,1.5217128281907605e-16,0.0,1.2790322167058851e-11,,5.551115123125783e-17,1.8103400091287352e-15,0.0,1.3515508002519703e-05,72,0,0.11966398540195361,72,0,0.06476528045803946,72,0,0.04001894369942621,72,0,0.026701267055783434,
refine_N128_s0,runge,0,128,0,1.0,72,39980,0.0,1.3644463112755147e-16,0.0,5.841997994370964e-10,,5.551115123125783e-17,1.799027441535383e-15,0.0,0.00016167037630815596,72,0,0.12738022095426915,72,0,0.0693045152036603,72,0,0.04323044774725054,72,0,0.029099307488634485,
refine_N128_s0,runge,0,128,0,10.0,72,39980,0.0,1.50292307909577e-16,0.0,1.0069757207748307e-08,,5.551115123125783e-17,1.7014754525305098e-15,0.0,0.001644633915204544,72,0,0.13336427804186443,72,0,0.07304836663180027,72,0,0.04612545937214593,72,0,0.03149788674265115,
