bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
refine_N128_s0,sine,128,0,0,0.0001,-0.002461988259550768,-0.002461988259550768,0.0
refine_N128_s0,sine,128,0,0,0.001,-0.0024573629991195417,-0.0024573629991195417,0.0
refine_N128_s0,sine,128,0,0,0.01,-0.002411942410146861,-0.002411942410146861,0.0
refine_N128_s0,sine,128,0,0,0.1,-0.0019895593161133457,-0.0019895593161133457,0.0
refine_N128_s0,sine,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,sine,128,0,0,10.0,0.0010059103785447637,0.0010059103785447637,0.0
refine_N128_s0,sine,128,0,0,100.0,0.0013065052745784567,0.0013065052745784567,0.0
refine_N128_s0,runge,128,0,0,0.0001,-0.0012745932749742839,-0.0012745932749742839,0.0
refine_N128_s0,runge,128,0,0,0.001,-0.0012725854862103703,-0.0012725854862103703,0.0
refine_N128_s0,runge,128,0,0,0.01,-0.0012527187978550597,-0.0012527187978550597,0.0
refine_N128_s0,runge,128,0,0,0.1,-0.0010557891344378512,-0.0010557891344378512,0.0
refine_N128_s0,runge,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,runge,128,0,0,10.0,0.0016294247500711206,0.0016294247500711206,0.0
refine_N128_s0,runge,128,0,0,100.0,0.007423094405875588,0.007423094405875588,0.0
refine_N128_s0,moment3,128,0,0,0.0001,0.0014834902056299198,0.0014834902056299198,0.0
refine_N128_s0,moment3,128,0,0,0.001,0.0014811371250098015,0.0014811371250098015,0.0
refine_N128_s0,moment3,128,0,0,0.01,0.0014577578452913825,0.0014577578452913825,0.0
refine_N128_s0,moment3,128,0,0,0.1,0.001238012917363293,0.001238012917363293,0.0
refine_N128_s0,moment3,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,moment3,128,0,0,10.0,-0.0014906522370731201,-0.0014906522370731201,0.0
refine_N128_s0,moment3,128,0,0,100.0,0.00011192455097112919,0.00011192455097112919,0.0
refine_N128_s0,moment5,128,0,0,0.0001,0.0014562934565780228,0.0014562934565780228,0.0
refine_N128_s0,moment5,128,0,0,0.001,0.0014537286750389983,0.0014537286750389983,0.0
refine_N128_s0,moment5,128,0,0,0.01,0.0014282924480470693,0.0014282924480470693,0.0
refine_N128_s0,moment5,128,0,0,0.1,0.0011982823103776075,0.0011982823103776075,0.0
refine_N128_s0,moment5,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,moment5,128,0,0,10.0,-0.0015477342946712686,-0.0015477342946712686,0.0
refine_N128_s0,moment5,128,0,0,100.0,-0.0019005106738471667,-0.0019005106738471667,0.0
refine_N128_s0,moment9,128,0,0,0.0001,0.0014558324170945297,0.0014558324170945297,0.0
refine_N128_s0,moment9,128,0,0,0.001,0.001453270209027288,0.001453270209027288,0.0
refine_N128_s0,moment9,128,0,0,0.01,0.0014278592554702457,0.0014278592554702457,0.0
refine_N128_s0,moment9,128,0,0,0.1,0.0011978218531145668,0.0011978218531145668,0.0
refine_N128_s0,moment9,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,moment9,128,0,0,10.0,-0.0015477134604446607,-0.0015477134604446607,0.0
