target,kappa,seed,n,m,eta_geometry,eta_readout,bundle,degree,requested_end,trace_states,completed_updates,failed_update,complete,checkpoint_step,initial_mean_gamma,mean_gamma,median_gamma,mean_lambda,signed_mean_change,last_preupdate_mse,window_mean_mse,window_median_mse,heldout_mse,heldout_relative_l2,initial_coarse_norm,last_coarse_norm,normalized_slope_gradient,cumulative_coarse_motion,cumulative_remainder_motion,cumulative_crossing_remainder,recorded_signed_motion,loss_increases,max_preactivation,first_radius_exceedance,descent_ratio_floor,descent_ratio_count,descent_ratio_min,descent_ratio_median,coarse_10pct_step,coarse_10pct_persists20,coarse_10pct_mean_gamma,coarse_1pct_step,coarse_1pct_persists20,coarse_1pct_mean_gamma,fraction_gamma_1,fraction_gamma_1_population0.1_step,fraction_gamma_1_population0.5_step,fraction_gamma_4,fraction_gamma_4_population0.1_step,fraction_gamma_4_population0.5_step,fraction_gamma_16,fraction_gamma_16_population0.1_step,fraction_gamma_16_population0.5_step,fraction_lambda_005,fraction_lambda_005_population0.1_step,fraction_lambda_005_population0.5_step,fraction_lambda_01,fraction_lambda_01_population0.1_step,fraction_lambda_01_population0.5_step,fraction_lambda_025,fraction_lambda_025_population0.1_step,fraction_lambda_025_population0.5_step
sine,0.0001,0,128,2048,0.001,1.0000000000000001e-07,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08410961434323715,0.07580303532659358,0.0013142127241130804,-0.003934459774396715,0.4244982545774869,0.42450803551336486,0.42450798762717945,0.42449849168874554,0.9214103230252476,0.6225231050928665,0.000737370421876735,0.00106126877015488,-0.0031184426047322898,-0.000817463281263835,1.4461115994012044e-06,-0.003934459774396723,0,0.406364732045598,,1e-24,39999,0.9992536340525894,0.9999992349111323,3059,True,0.08460644843715884,6538,True,0.08469429624330337,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.001,0,128,2048,0.001,1e-06,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08411423960366837,0.07583414449443336,0.0013142849938073183,-0.003929834513965488,0.42449816103304744,0.4245079433008329,0.4245078953908551,0.4244983981444,0.9214102215022362,0.6225231050928665,0.0007374907911346412,0.00106125627673443,-0.0031143062882684233,-0.0008173818892058451,1.8536635087779753e-06,-0.003929834513965491,0,0.4063243570008672,,1e-24,39999,0.9992525284193251,0.9999992340382329,3057,True,0.08461147437729896,6533,True,0.08469866792536702,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.01,0,128,2048,0.001,1e-05,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08415966019264105,0.07614286443007123,0.0013149946905100165,-0.003884413924992808,0.4244972128419646,0.42450700808582786,0.42450695994166093,0.42449744995438854,0.9214091924377448,0.6225231050928665,0.0007386348931934658,0.001061109758703565,-0.003069485360288886,-0.0008165545580569633,1.6259933530242784e-06,-0.003884413924992825,0,0.40592194672127074,,1e-24,39999,0.9992414794996008,0.9999992321519587,3036,True,0.08466095216555804,6487,True,0.08474156582374913,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.1,0,128,2048,0.001,0.0001,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08458204328667457,0.07724741735676864,0.0013215944263542901,-0.0034620308309592923,0.42448670913419384,0.42449660479984086,0.42449655465299874,0.4244869462685653,0.9213977927785212,0.6225231050928665,0.0007448875810548745,0.0010578927881418425,-0.0026566995021891503,-0.0008071956675363469,1.8643387662148066e-06,-0.0034620308309592823,0,0.40203788693123754,,1e-24,39999,0.9991316513807078,0.999999213165237,2838,True,0.08508588111679771,6054,True,0.08518943748062581,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,1.0,0,128,2048,0.001,0.001,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08657160260278791,0.08786852709654219,0.0013526812906685612,-0.0014724715148459466,0.42438119099843585,0.4243910684575916,0.4243910132567167,0.42438142859481653,0.9212832665307849,0.6225231050928665,0.0006529161158118291,0.0010022649546827403,-0.0007673375000768764,-0.0007065012035757902,1.367188806696754e-06,-0.0014724715148459696,0,0.38255461540592206,,1e-24,39999,0.9980632314651484,0.9999991426166462,1685,True,0.08668733896180655,3563,True,0.08695820692079018,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,10.0,0,128,2048,0.001,0.01,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08757751298133268,0.0879903597847055,0.001368398640333323,-0.0004665611363011829,0.4242168242785591,0.42422776254247985,0.42422771647815904,0.42421706254048297,0.9211048393537871,0.6225231050928665,0.0004462486259268498,0.0008908025122005577,7.717711699050947e-05,-0.0005438291172065692,9.086391487606561e-08,-0.00046656113630118377,0,0.36410468997721546,,1e-24,39999,0.987608611492353,0.9999992905042522,321,True,0.08784103412516614,677,True,0.08791283697850256,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,100.0,0,128,2048,0.001,0.1,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08787810787736637,0.08666232204246224,0.0013730954355838495,-0.00016596624026748996,0.4240400187075091,0.4240894836238078,0.42408976387293185,0.4240402536089404,0.9209128662462485,0.6225231050928665,0.0004196786416849734,0.0010019484477443248,0.000247624117346017,-0.00041359035761356975,5.866443467754526e-17,-0.00016596624026749405,0,0.3593166777239367,,1e-24,39999,0.8832723619359393,1.0000003729147906,35,True,0.08802394427442388,73,True,0.08803219700804292,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.0001,0,128,2048,0.001,1.0000000000000001e-07,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08581086558024373,0.0847385295442841,0.0013407947746913083,-0.002233208537390133,0.08028089934976018,0.08038272677057351,0.08038344039154247,0.08028088991581186,0.7160620211036968,0.6667640510156251,0.0006478478054019406,0.007419235017526369,-0.003040931153770092,0.0008070499347141039,6.726816658490689e-07,-0.0022332085373901384,0,0.4345940163247382,,1e-24,39999,0.9989891221089011,1.0000009688769538,1874,True,0.08553195766528339,5158,True,0.08510647642025398,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.001,0,128,2048,0.001,1e-06,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08581287336900764,0.08476357865770001,0.0013408261463907444,-0.002231200748626219,0.08028095938065678,0.08038284792688732,0.08038356264702484,0.0802809499401241,0.7160622887958109,0.6667640510156251,0.0006478067473106196,0.007420616166289009,-0.0030383658637811823,0.0008065847406030177,5.803745519491756e-07,-0.0022312007486262157,0,0.43456059517738765,,1e-24,39999,0.9989876683919449,1.000000969868896,1873,True,0.08553348016336006,5154,True,0.08510887803493819,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.01,0,128,2048,0.001,1e-05,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08583274005736295,0.08501197120541328,0.0013411365633962961,-0.0022113340602709086,0.08028155676145442,0.08038405059423619,0.0803847762555751,0.080281547255694,0.7160649526554119,0.6667640510156251,0.0006474046565685336,0.00743419185891797,-0.003013888245475633,0.0008019990285237591,5.55156680965655e-07,-0.0022113340602709078,0,0.43422737864488625,,1e-24,39999,0.9989731469987886,1.0000009780563675,1859,True,0.08555002350982158,5119,True,0.08513257162146472,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.1,0,128,2048,0.001,0.0001,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08602966972078016,0.08564261701682642,0.00134421358938719,-0.0020144043968537,0.08028718822956005,0.08039520652393214,0.0803960367810473,0.08028717812618488,0.7160900642685434,0.6667640510156251,0.0006438184128628872,0.007549494489034891,-0.0027770520105882724,0.0007623069871888302,3.4062654573025613e-07,-0.002014404396853712,0,0.43100835304464635,,1e-24,39999,0.9988293132313083,1.0000010539639916,1734,True,0.08572165215365474,4785,True,0.08534767478723872,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,1.0,0,128,2048,0.001,0.001,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08708545885521801,0.08868041412321187,0.0013607102946127814,-0.0009586152624158489,0.08029971223502194,0.08044150885779972,0.08044312510771937,0.08029969839499913,0.7161458969108337,0.6667640510156251,0.000599595264500386,0.007964378559624013,-0.0015714078498984343,0.0006125469508154646,2.4563666712054e-07,-0.0009586152624158489,0,0.4102811309458727,,1e-24,39999,0.9974478068071895,1.0000015019603097,1021,True,0.08668382079030133,2846,True,0.08648836067078797,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,10.0,0,128,2048,0.001,0.01,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.08871488360528913,0.08730515833913592,0.0013861700563326427,0.0006708094876552717,0.0795467282778612,0.07995844147008856,0.0799690293103811,0.07954668268583684,0.7127801350092855,0.6667640510156251,0.0005266499231403537,0.010281538447420732,-0.0002675630070118448,0.0009383724946671988,-8.504993390534356e-17,0.0006708094876552693,0,0.4070680094314102,,1e-24,39999,0.984009013773309,1.000003046983106,193,True,0.08779989604653118,541,True,0.08776147215083581,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,100.0,0,128,2048,0.001,0.1,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.0945085532610936,0.09001961451470226,0.0014766961447045875,0.006464479143459739,0.060799926629854936,0.07050062983656605,0.07145193775557622,0.0607982728160716,0.6231465169445746,0.6667640510156251,0.0008991187957080467,0.07917367004042655,6.33236621848356e-05,0.006401155481274766,1.3953829659449162e-16,0.006464479143459742,0,0.627233726122759,,1e-24,39999,0.8499193850691261,1.0000131289657983,21,True,0.0880176784359043,58,True,0.08801438941506663,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
moment3,0.0001,0,128,2048,0.001,1.0000000000000001e-07,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.09040417803339956,0.09197512094242649,0.0014125652817718682,0.0023601039157657017,0.7512297694576229,0.7512962891385386,0.7512955773113583,0.7512321191950802,0.8667350848320922,0.6661118349881163,0.002596768324698151,0.00205994690772256,0.005223261764570475,-0.002863418074108597,2.6022530382579206e-07,0.0023601039157657047,0,0.37378158600433875,,1e-24,39999,0.9989672087586905,0.9999983004490175,1457,True,0.09006863818596328,5293,True,0.09117483701006374,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
moment3,0.001,0,128,2048,0.001,1e-06,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.09040182495277944,0.09195914293032091,0.0014125285148871788,0.0023577508351455834,0.7512293777825396,0.751295911130063,0.7512951992733383,0.7512317275153657,0.8667348588815597,0.6661118349881163,0.0025957694408144296,0.002059840429180963,0.005220555132639058,-0.0028630419046876535,2.3760719419476277e-07,0.0023577508351455994,0,0.37377082176403764,,1e-24,39999,0.9989657736841915,0.9999983008481654,1455,True,0.09006651531537103,5288,True,0.09117248328880986,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
moment3,0.01,0,128,2048,0.001,1e-05,refine_N128_s0,0,40000,40000,40000,0,True,40000,0.08804407411763386,0.09037844567306103,0.09180071342835394,0.0014121632136415785,0.0023343715554271643,0.7512254987064833,0.7512921680203962,0.7512914558705134,0.7512278483933547,0.8667326211069251,0.6661118349881163,0.0025858641065694644,0.0020588096497614937,0.005193526341922312,-0.0028593166508977643,1.618644026121336e-07,0.0023343715554271596,0,0.37366452474968714,,1e-24,39999,0.9989514337347978,0.9999983020697251,1440,True,0.09004950447903966,5239,True,0.09114914674502697,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
