bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N128_s5,128,5,0,moment3,moment9,0.0001,1019,19980,-0.0018765433817395788,0.001913381567248808,0.08132706428794838,0.002855647967727683,0.0018765433817395788,0.0025902277431598436,0.08132706428794838,0.0030228654064605614
core_N128_s5,128,5,0,moment3,moment9,0.001,1019,19980,-0.0018756722699415085,0.0019129844195373853,0.08131683083492476,0.002854742009453226,0.0018756722699415085,0.0025902277431598436,0.08131683083492476,0.0030219525858152896
core_N128_s5,128,5,0,moment3,moment9,0.01,1019,19980,-0.0018671262572698272,0.001909081988878057,0.08121590113552114,0.0028456496395936853,0.0018671262572698272,0.0025902277431598436,0.08121590113552114,0.003012781684051772
core_N128_s5,128,5,0,moment3,moment9,0.1,1019,19980,-0.0018013966161208872,0.001876440459530194,0.08034404232042064,0.0027534725339764727,0.0018013966161208872,0.0025902277431598436,0.08034404232042064,0.002919346076651688
core_N128_s5,128,5,0,moment3,moment9,1.0,1019,19980,-0.0014654737571621335,0.001816410415695269,0.07834775342370438,0.0021227454946769722,0.0014654737571621335,0.0025902277431598436,0.07834775342370438,0.0022741360076231564
core_N128_s5,128,5,0,moment3,moment9,10.0,1019,19980,-0.0011017284055891419,0.0019254646474744946,0.07933333604921251,0.0014665596651924854,0.0011017284055891419,0.0025902277431598436,0.07933333604921251,0.0015415211012743209
core_N128_s5,128,5,0,moment3,moment9,100.0,1019,19980,0.000984246125794494,0.007817493014452554,0.12455711885229097,0.0016706003765724986,0.000984246125794494,0.007817493014452554,0.12455711885229097,0.0016706003765724986
core_N128_s5,128,5,0,moment5,moment9,0.0001,1019,19980,1.4775987781032174e-05,1.6431596091327556e-05,0.0006338263746876569,1.3572347995491847e-05,1.4775987781032174e-05,1.6431596091327556e-05,0.0006338263746876569,1.3572347995491847e-05
core_N128_s5,128,5,0,moment5,moment9,0.001,1019,19980,1.4762868699599863e-05,1.6423926230874552e-05,0.0006335708475039313,1.3562042867437498e-05,1.4762868699599863e-05,1.6423926230874552e-05,0.0006335708475039313,1.3562042867437498e-05
core_N128_s5,128,5,0,moment5,moment9,0.01,1019,19980,1.4633578677522574e-05,1.6348003221135903e-05,0.000631037353904034,1.3459860158895627e-05,1.4633578677522574e-05,1.6348003221135903e-05,0.000631037353904034,1.3459860158895627e-05
core_N128_s5,128,5,0,moment5,moment9,0.1,1019,19980,1.3850405867515958e-05,1.5661614237509567e-05,0.0006078236921403979,1.2520160358653167e-05,1.3850405867515958e-05,1.5661614237509567e-05,0.0006078236921403979,1.2520160358653167e-05
core_N128_s5,128,5,0,moment5,moment9,1.0,1019,19980,1.0233296676528947e-05,1.2605618811019476e-05,0.0004991583350259741,7.785335628964707e-06,1.0233296676528947e-05,1.2605618811019476e-05,0.0004991583350259741,7.785438686224361e-06
