bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
core_N128_s5,sine,128,5,0,0.0001,0.0007459180092886514,0.0007459180092886514,0.0
core_N128_s5,sine,128,5,0,0.001,0.0007454115072263873,0.0007454115072263873,0.0
core_N128_s5,sine,128,5,0,0.01,0.0007399439810874542,0.0007399439810874542,0.0
core_N128_s5,sine,128,5,0,0.1,0.0006530695072021336,0.0006530695072021336,0.0
core_N128_s5,sine,128,5,0,1.0,0.0,0.0,0.0
core_N128_s5,sine,128,5,0,10.0,-0.0003176819731948305,-0.0003176819731948305,0.0
core_N128_s5,sine,128,5,0,100.0,-0.0002648962439642799,-0.0002648962439642799,0.0
core_N128_s5,runge,128,5,0,0.0001,-5.5175242810470704e-05,-5.5175242810470704e-05,0.0
core_N128_s5,runge,128,5,0,0.001,-5.514558312934292e-05,-5.514558312934292e-05,0.0
core_N128_s5,runge,128,5,0,0.01,-5.483802981236241e-05,-5.483802981236241e-05,0.0
core_N128_s5,runge,128,5,0,0.1,-5.094160376732659e-05,-5.094160376732659e-05,0.0
core_N128_s5,runge,128,5,0,1.0,0.0,0.0,0.0
core_N128_s5,runge,128,5,0,10.0,0.00048126285508397204,0.00048126285508397204,0.0
core_N128_s5,runge,128,5,0,100.0,0.0057357261461431774,0.0057357261461431774,0.0
core_N128_s5,moment3,128,5,0,0.0001,0.0014642353040416056,0.0014642353040416056,0.0
core_N128_s5,moment3,128,5,0,0.001,0.0014621229664473628,0.0014621229664473628,0.0
core_N128_s5,moment3,128,5,0,0.01,0.0014407402990092577,0.0014407402990092577,0.0
core_N128_s5,moment3,128,5,0,0.1,0.0012082231331444343,0.0012082231331444343,0.0
core_N128_s5,moment3,128,5,0,1.0,0.0,0.0,0.0
core_N128_s5,moment3,128,5,0,10.0,-0.0018474350757705232,-0.0018474350757705232,0.0
core_N128_s5,moment3,128,5,0,100.0,-0.00023021026736134986,-0.00023021026736134986,0.0
core_N128_s5,moment5,128,5,0,0.0001,0.0018804401727373632,0.0018804401727373632,0.0
core_N128_s5,moment5,128,5,0,0.001,0.0018774411413288866,0.0018774411413288866,0.0
core_N128_s5,moment5,128,5,0,0.01,0.0018473589267484214,0.0018473589267484214,0.0
core_N128_s5,moment5,128,5,0,0.1,0.0015481206639192946,0.0015481206639192946,0.0
core_N128_s5,moment5,128,5,0,1.0,0.0,0.0,0.0
core_N128_s5,moment5,128,5,0,10.0,-0.002214557097981837,-0.002214557097981837,0.0
core_N128_s5,moment5,128,5,0,100.0,-0.002689412920902634,-0.002689412920902634,0.0
core_N128_s5,moment9,128,5,0,0.0001,0.001875892571052848,0.001875892571052848,0.0
core_N128_s5,moment9,128,5,0,0.001,0.0018729066731134614,0.0018729066731134614,0.0
core_N128_s5,moment9,128,5,0,0.01,0.0018429538902440118,0.0018429538902440118,0.0
core_N128_s5,moment9,128,5,0,0.1,0.0015444996621097468,0.0015444996621097468,0.0
core_N128_s5,moment9,128,5,0,1.0,0.0,0.0,0.0
core_N128_s5,moment9,128,5,0,10.0,-0.002211731834496175,-0.002211731834496175,0.0
core_N128_s5,moment9,128,5,0,100.0,-0.002686113331829623,-0.002686113331829623,0.0
core_N128_s5,sine,128,5,1,0.0001,0.0007459180092886514,0.0008060702800856967,6.0152270797045326e-05
core_N128_s5,sine,128,5,1,0.001,0.0007454115072263873,0.0008048737075751766,5.946220034878935e-05
core_N128_s5,sine,128,5,1,0.01,0.0007399439810874542,0.0007926169161514701,5.2672935064015936e-05
core_N128_s5,sine,128,5,1,0.1,0.0006530695072021336,0.00065782825322655,4.758746024416394e-06
core_N128_s5,sine,128,5,1,1.0,0.0,0.0,0.0
core_N128_s5,sine,128,5,1,10.0,-0.0003176819731948305,-0.0003288709938767953,-1.1189020681964812e-05
core_N128_s5,sine,128,5,1,100.0,-0.0002648962439642799,-0.0004653825477538981,-0.00020048630378961818
core_N128_s5,runge,128,5,1,0.0001,-5.5175242810470704e-05,-0.000202847026746375,-0.0001476717839359043
core_N128_s5,runge,128,5,1,0.001,-5.514558312934292e-05,-0.00020245189122929108,-0.00014730630809994816
core_N128_s5,runge,128,5,1,0.01,-5.483802981236241e-05,-0.00019854093986246268,-0.00014370291005010027
core_N128_s5,runge,128,5,1,0.1,-5.094160376732659e-05,-0.00016317604043980527,-0.00011223443667247868
core_N128_s5,runge,128,5,1,1.0,0.0,0.0,0.0
core_N128_s5,runge,128,5,1,10.0,0.00048126285508397204,0.00012279789284413978,-0.00035846496223983226
core_N128_s5,runge,128,5,1,100.0,0.0057357261461431774,0.00014167351343145895,-0.0055940526327117185
core_N128_s5,moment3,128,5,1,0.0001,0.0014642353040416056,0.0018558266547800822,0.0003915913507384766
core_N128_s5,moment3,128,5,1,0.001,0.0014621229664473628,0.0018527325323257765,0.00039060956587841367
core_N128_s5,moment3,128,5,1,0.01,0.0014407402990092577,0.001821737528835965,0.00038099722982670725
core_N128_s5,moment3,128,5,1,0.1,0.0012082231331444343,0.001526825598811718,0.0003186024656672837
core_N128_s5,moment3,128,5,1,1.0,0.0,0.0,0.0
core_N128_s5,moment3,128,5,1,10.0,-0.0018474350757705232,-0.0021637772441278486,-0.0003163421683573253
core_N128_s5,moment3,128,5,1,100.0,-0.00023021026736134986,-0.0026285917929247116,-0.0023983815255633617
core_N128_s5,moment5,128,5,1,0.0001,0.0018804401727373632,0.0018558266547800822,-2.461351795728095e-05
core_N128_s5,moment5,128,5,1,0.001,0.0018774411413288866,0.0018527325323257765,-2.4708609003110116e-05
core_N128_s5,moment5,128,5,1,0.01,0.0018473589267484214,0.001821737528835951,-2.5621397912470312e-05
core_N128_s5,moment5,128,5,1,0.1,0.0015481206639192946,0.001526825598811718,-2.1295065107576616e-05
core_N128_s5,moment5,128,5,1,1.0,0.0,0.0,0.0
core_N128_s5,moment5,128,5,1,10.0,-0.002214557097981837,-0.0021637772441278486,5.077985385398831e-05
core_N128_s5,moment5,128,5,1,100.0,-0.002689412920902634,-0.0026285917929247116,6.0821127977922496e-05
core_N128_s5,moment9,128,5,1,0.0001,0.001875892571052848,0.0018558266547800684,-2.0065916272779538e-05
core_N128_s5,moment9,128,5,1,0.001,0.0018729066731134614,0.0018527325323257626,-2.0174140787698747e-05
core_N128_s5,moment9,128,5,1,0.01,0.0018429538902440118,0.0018217375288359372,-2.121636140807459e-05
core_N128_s5,moment9,128,5,1,0.1,0.0015444996621097468,0.001526825598811704,-1.7674063298042664e-05
core_N128_s5,moment9,128,5,1,1.0,0.0,0.0,0.0
core_N128_s5,moment9,128,5,1,10.0,-0.002211731834496175,-0.0021637772441278624,4.795459036831262e-05
core_N128_s5,moment9,128,5,1,100.0,-0.002686113331829623,-0.0026285917929247254,5.752153890489775e-05
core_N128_s5,sine,128,5,3,0.0001,0.0007459180092886514,0.0007416175561564264,-4.300453132224935e-06
core_N128_s5,sine,128,5,3,0.001,0.0007454115072263873,0.0007411439850073531,-4.267522219034148e-06
core_N128_s5,sine,128,5,3,0.01,0.0007399439810874542,0.0007360008595509587,-3.943121536495453e-06
core_N128_s5,sine,128,5,3,0.1,0.0006530695072021336,0.0006519306515805068,-1.1388556216268553e-06
core_N128_s5,sine,128,5,3,1.0,0.0,0.0,0.0
core_N128_s5,sine,128,5,3,10.0,-0.0003176819731948305,-0.00031491919123152745,2.7627819633030404e-06
core_N128_s5,sine,128,5,3,100.0,-0.0002648962439642799,-0.0002428988068834126,2.199743708086732e-05
core_N128_s5,runge,128,5,3,0.0001,-5.5175242810470704e-05,-4.460697648063505e-05,1.0568266329835652e-05
core_N128_s5,runge,128,5,3,0.001,-5.514558312934292e-05,-4.4605274014508645e-05,1.0540309114834279e-05
core_N128_s5,runge,128,5,3,0.01,-5.483802981236241e-05,-4.457336399996126e-05,1.0264665812401153e-05
core_N128_s5,runge,128,5,3,0.1,-5.094160376732659e-05,-4.3079698505976705e-05,7.861905261349889e-06
core_N128_s5,runge,128,5,3,1.0,0.0,0.0,0.0
core_N128_s5,runge,128,5,3,10.0,0.00048126285508397204,0.0005225771520759037,4.1314296991931676e-05
core_N128_s5,runge,128,5,3,100.0,0.0057357261461431774,0.006503237918628266,0.0007675117724850883
core_N128_s5,moment3,128,5,3,0.0001,0.0014642353040416056,0.0014272869829161927,-3.694832112541291e-05
core_N128_s5,moment3,128,5,3,0.001,0.0014621229664473628,0.001425313635612449,-3.680933083491378e-05
core_N128_s5,moment3,128,5,3,0.01,0.0014407402990092577,0.0014053013860423486,-3.543891296690915e-05
core_N128_s5,moment3,128,5,3,0.1,0.0012082231331444343,0.0011847337963891008,-2.348933675533349e-05
core_N128_s5,moment3,128,5,3,1.0,0.0,0.0,0.0
core_N128_s5,moment3,128,5,3,10.0,-0.0018474350757705232,-0.001806255234176088,4.117984159443533e-05
core_N128_s5,moment3,128,5,3,100.0,-0.00023021026736134986,0.0002907302364894837,0.0005209405038508336
core_N128_s5,moment5,128,5,3,0.0001,0.0018804401727373632,0.0018757147813849018,-4.725391352461417e-06
core_N128_s5,moment5,128,5,3,0.001,0.0018774411413288866,0.0018721911440530287,-5.249997275857954e-06
core_N128_s5,moment5,128,5,3,0.01,0.0018473589267484214,0.0018423151158349915,-5.043810913429869e-06
core_N128_s5,moment5,128,5,3,0.1,0.0015481206639192946,0.0015440468889812153,-4.073774938079255e-06
core_N128_s5,moment5,128,5,3,1.0,0.0,0.0,0.0
core_N128_s5,moment5,128,5,3,10.0,-0.002214557097981837,-0.002212310976519777,2.2461214620600467e-06
core_N128_s5,moment5,128,5,3,100.0,-0.002689412920902634,-0.0026867530905378273,2.65983036480677e-06
core_N128_s5,moment9,128,5,3,0.0001,0.001875892571052848,0.0018757147813849157,-1.7778966793224882e-07
core_N128_s5,moment9,128,5,3,0.001,0.0018729066731134614,0.0018721911440530425,-7.155290604188291e-07
core_N128_s5,moment9,128,5,3,0.01,0.0018429538902440118,0.0018423151158350332,-6.387744089786374e-07
core_N128_s5,moment9,128,5,3,0.1,0.0015444996621097468,0.0015440468889812153,-4.5277312853142515e-07
core_N128_s5,moment9,128,5,3,1.0,0.0,0.0,0.0
core_N128_s5,moment9,128,5,3,10.0,-0.002211731834496175,-0.002212310976519777,-5.791420236017641e-07
core_N128_s5,moment9,128,5,3,100.0,-0.002686113331829623,-0.0026867530905378273,-6.397587082040967e-07
core_N128_s5,sine,128,5,5,0.0001,0.0007459180092886514,0.0007462047823523499,2.8677306369850886e-07
core_N128_s5,sine,128,5,5,0.001,0.0007454115072263873,0.0007456967335041226,2.852262777353065e-07
core_N128_s5,sine,128,5,5,0.01,0.0007399439810874542,0.0007402139705564026,2.6998946894840614e-07
core_N128_s5,sine,128,5,5,0.1,0.0006530695072021336,0.0006532077798657859,1.3827266365229463e-07
core_N128_s5,sine,128,5,5,1.0,0.0,0.0,0.0
core_N128_s5,sine,128,5,5,10.0,-0.0003176819731948305,-0.00031786311966378045,-1.8114646894995534e-07
core_N128_s5,sine,128,5,5,100.0,-0.0002648962439642799,-0.00026573931766545045,-8.43073701170538e-07
core_N128_s5,runge,128,5,5,0.0001,-5.5175242810470704e-05,-5.608082504932055e-05,-9.055822388498447e-07
core_N128_s5,runge,128,5,5,0.001,-5.514558312934292e-05,-5.6048911521125455e-05,-9.033283917825319e-07
core_N128_s5,runge,128,5,5,0.01,-5.483802981236241e-05,-5.5719143895197054e-05,-8.811140828346442e-07
core_N128_s5,runge,128,5,5,0.1,-5.094160376732659e-05,-5.1629407428477325e-05,-6.878036611507321e-07
core_N128_s5,runge,128,5,5,1.0,0.0,0.0,0.0
core_N128_s5,runge,128,5,5,10.0,0.00048126285508397204,0.0004797067334286892,-1.5561216552828494e-06
core_N128_s5,runge,128,5,5,100.0,0.0057357261461431774,0.0056933492240107825,-4.237692213239497e-05
core_N128_s5,moment3,128,5,5,0.0001,0.0014642353040416056,0.001467097827484054,2.862523442448417e-06
core_N128_s5,moment3,128,5,5,0.001,0.0014621229664473628,0.0014649765232842282,2.8535568368653896e-06
core_N128_s5,moment3,128,5,5,0.01,0.0014407402990092577,0.0014435054165739675,2.7651175647097626e-06
core_N128_s5,moment3,128,5,5,0.1,0.0012082231331444343,0.001210214097814452,1.990964670017803e-06
core_N128_s5,moment3,128,5,5,1.0,0.0,0.0,0.0
core_N128_s5,moment3,128,5,5,10.0,-0.0018474350757705232,-0.0018501404683333028,-2.705392562779574e-06
core_N128_s5,moment3,128,5,5,100.0,-0.00023021026736134986,-0.00025297137130143865,-2.276110394008879e-05
core_N128_s5,moment5,128,5,5,0.0001,0.0018804401727373632,0.0018811113876445879,6.712149072246598e-07
core_N128_s5,moment5,128,5,5,0.001,0.0018774411413288866,0.001878110276004541,6.691346756543259e-07
core_N128_s5,moment5,128,5,5,0.01,0.0018473589267484214,0.0018480076044283394,6.486776799180527e-07
core_N128_s5,moment5,128,5,5,0.1,0.0015481206639192946,0.0015486486463169025,5.279823976078735e-07
