bundle,target,seed,n,degree,kappa,count,last_step,last_gradient_absolute_error,last_gradient_relative_error,last_signed_change_actual,last_signed_change_reference,last_signed_change_absolute_error,last_slope_parameter_l2_error,last_signed_force_actual,last_signed_force_reference,last_residual_moment_l2_error,last_median_gamma_error,max_abs_gradient_absolute_error,max_abs_gradient_relative_error,max_abs_signed_change_actual,max_abs_signed_change_reference,max_abs_signed_change_absolute_error,max_abs_slope_parameter_l2_error,max_abs_signed_force_actual,max_abs_signed_force_reference,max_abs_residual_moment_l2_error,max_abs_median_gamma_error,first_gradient_error_above_5pct
core_N128_s5,sine,5,128,1,0.0001,1019,19980,0.0006774725199491566,1.0000000000800913,0.0008804328441592707,0.0012885912604822108,0.00040815841632294014,0.030874501151627792,-1.1910205363572306e-05,1.1180776248567109e-13,0.0009100195079946407,-0.0002506251894903444,0.005977165122554114,1.0000100199973827,0.0012304841465896194,0.0012885912604822108,0.00040815841632294014,0.030874501151627792,0.0012197104504368494,0.0012449685860609625,0.003404704218906806,0.0009777074130175034,1680
core_N128_s5,sine,5,128,1,0.001,1019,19980,0.0006773387643017683,1.0000000000838902,0.0008799256799652683,0.001287394687971788,0.00040746900800651964,0.03086364430784409,-1.1893652169903374e-05,1.0916238771309112e-13,0.0009097471306952195,-0.00019624422564396005,0.005977165122554114,1.0000115450367568,0.0012295871113173068,0.001287394687971788,0.00040746900800651964,0.03086364430784409,0.0012197104504368494,0.0012449685860609625,0.003404311216691499,0.000981985734322191,1680
core_N128_s5,sine,5,128,1,0.01,1019,19980,0.0006760113573729805,1.0000000001090903,0.0008744516253454265,0.001275137896549025,0.00040068627120359857,0.030756156047569864,-1.1730441161517109e-05,8.513526284392714e-14,0.0009070143258889568,0.0003063731277614945,0.005977165122554114,1.0000328300974877,0.0012202693681107601,0.001275137896549025,0.00040068627120359857,0.030756156047569864,0.0012197104504368494,0.0012449685860609625,0.0034003042520763744,0.0010261585333012496,1660
core_N128_s5,sine,5,128,1,0.1,1019,19980,0.0006638078175563099,1.000000000040674,0.0007875202421551986,0.0011403492336272136,0.0003528289914720151,0.029785931669472066,-1.030771983138405e-05,6.935450726455396e-15,0.0008793592488663116,-0.00041468449537428176,0.005977165122554114,1.0008370627850383,0.0011045809196660594,0.0011403492336272136,0.0003528289914720151,0.029785931669472066,0.0012197104504368494,0.0012449685860609625,0.0033604381867008695,0.0010248956088541317,1540
core_N128_s5,sine,5,128,1,1.0,1019,19980,0.0006111855987753502,1.0000000000012748,0.00013440385723915982,0.0004825209804009273,0.00034811712316176746,0.02580518499594479,-9.135917336046275e-06,3.624239783663643e-17,0.0006904296940920688,-3.5047840388338636e-05,0.005977165122554114,1.0315327165728387,0.0004639967370800857,0.0004825209804009273,0.00034811712316176746,0.02580518499594479,0.0012197104504368494,0.0012449685860609625,0.0031064528647635355,0.00027111639064344994,900
core_N128_s5,sine,5,128,1,10.0,1019,19980,0.0005754298881781902,1.0000000000000662,-0.0001833377947986492,0.00015364998652413198,0.0003369877813227812,0.023666310759319107,-7.6443599010539e-06,1.0127273037667384e-18,0.0004823942652163493,-3.871992670011204e-05,0.005977165122554114,1.1095368610527387,0.0001833377947986492,0.00015364998652415973,0.0003369877813227812,0.023666310759319107,0.0012197104504368494,0.0012449685860609625,0.002834207997245704,3.871992670011204e-05,180
core_N128_s5,sine,5,128,1,100.0,1019,19980,0.0006585855174694336,1.0,-0.00013091703286989553,1.713843264702919e-05,0.00014805546551692472,0.02371615480560255,1.4755580874269122e-06,-0.0,0.0003760400813055548,0.0001288106687250129,0.005977165122554114,1.0418288678834318,0.00013496901828607966,1.713843264702919e-05,0.00015210745093310885,0.02371615480560255,0.0012197104504368494,0.0012449685860609625,0.00295378180956544,0.0001288106687250129,18
core_N128_s5,runge,5,128,1,0.0001,1019,19980,0.0019790759374637874,0.9999999999979237,0.0008616234813961371,-0.0003467942391249673,0.0012084177205211044,0.07349253262758189,3.49178571803794e-05,-7.492523212765254e-15,0.0011708964341289622,-0.0018531173054832234,0.002295028947188994,0.9999999999979237,0.0008616234813961371,0.0003467942391249673,0.0012084177205211044,0.07349253262758189,0.00020432429078641253,0.00020859886734959614,0.00394771645982321,0.0018531173054832234,0
core_N128_s5,runge,5,128,1,0.001,1019,19980,0.0019791501346464427,0.9999999999979632,0.0008616535109433054,-0.0003463991036078834,0.0012080526145511888,0.07349732514994096,3.490860869803791e-05,-7.329499603106528e-15,0.00117063821972447,-0.0018603387878485117,0.002295028947188994,0.9999999999979632,0.0008616535109433054,0.0003463991036078834,0.0012080526145511888,0.07349732514994096,0.00020432429078641253,0.00020859886734959614,0.003945058021344955,0.0018603387878485117,0
core_N128_s5,runge,5,128,1,0.01,1019,19980,0.001979875998526467,0.9999999999983498,0.0008619647019923321,-0.0003424881522411105,0.0012044528542334426,0.07354417808769119,3.481764717817614e-05,-5.775308834811294e-15,0.001168097720474295,-0.0019321802919618075,0.002295028947188994,0.9999999999983498,0.0008619647019923321,0.0003424881522411105,0.0012044528542334426,0.07354417808769119,0.00020432429078641253,0.00020859886734959614,0.003918407263067695,0.0019321802919618075,0
