target,kappa,seed,n,m,eta_geometry,eta_readout,bundle,degree,requested_end,trace_states,completed_updates,failed_update,complete,checkpoint_step,initial_mean_gamma,mean_gamma,median_gamma,mean_lambda,signed_mean_change,last_preupdate_mse,window_mean_mse,window_median_mse,heldout_mse,heldout_relative_l2,initial_coarse_norm,last_coarse_norm,normalized_slope_gradient,cumulative_coarse_motion,cumulative_remainder_motion,cumulative_crossing_remainder,recorded_signed_motion,loss_increases,max_preactivation,first_radius_exceedance,descent_ratio_floor,descent_ratio_count,descent_ratio_min,descent_ratio_median,coarse_10pct_step,coarse_10pct_persists20,coarse_10pct_mean_gamma,coarse_1pct_step,coarse_1pct_persists20,coarse_1pct_mean_gamma,fraction_gamma_1,fraction_gamma_1_population0.1_step,fraction_gamma_1_population0.5_step,fraction_gamma_4,fraction_gamma_4_population0.1_step,fraction_gamma_4_population0.5_step,fraction_gamma_16,fraction_gamma_16_population0.1_step,fraction_gamma_16_population0.5_step,fraction_lambda_005,fraction_lambda_005_population0.1_step,fraction_lambda_005_population0.5_step,fraction_lambda_01,fraction_lambda_01_population0.1_step,fraction_lambda_01_population0.5_step,fraction_lambda_025,fraction_lambda_025_population0.1_step,fraction_lambda_025_population0.5_step
sine,0.0001,5,128,2048,0.002,2.0000000000000002e-07,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.0938506643330674,0.09104165939729121,0.001466416630204178,0.0008799564484247707,0.4244615834955527,0.42694709916288165,0.424480562333306,0.42446181973730013,0.9213705223603587,0.3574450754514349,0.0008672777423485822,0.0010397950485032924,0.0016486829380166963,-0.0007709579771279025,2.231487535973323e-06,0.000879956448424767,0,0.3899371472016427,,1e-24,19999,0.9990215339961086,0.9999984259572967,1928,True,0.09374612002654567,4127,True,0.09419477549959344,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.001,5,128,2048,0.002,2e-06,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09385015783100513,0.09102712252215173,0.0014664087161094551,0.0008794499463625066,0.42446137593262756,0.4269444217918631,0.42448035257507133,0.4244616121755624,0.9213702970853385,0.3574450754514349,0.0008670180900576972,0.0010395900071251696,0.00164815373297863,-0.0007707879500936529,2.0841634775208116e-06,0.0008794499463624975,0,0.3898826809630478,,1e-24,19999,0.9990201666843879,0.999998425329458,1926,True,0.09374499328240186,4123,True,0.09419384143971027,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.01,5,128,2048,0.002,2e-05,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.0938446903048662,0.09091638070130419,0.0014663232860135343,0.0008739824202235735,0.4244593117867523,0.4269179312133143,0.42447826659230947,0.42445954804152086,0.9213680567954599,0.3574450754514349,0.0008644069011440465,0.0010375551533844658,0.0016413081900581727,-0.0007690941469900521,1.7683771554465957e-06,0.0008739824202235671,0,0.3893430883923211,,1e-24,19999,0.9990064916918822,0.9999984258644642,1906,True,0.09373334751627721,4079,True,0.09418404130651085,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.1,5,128,2048,0.002,0.0002,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09375781583098088,0.09117460780869402,0.0014649658723590762,0.000787107946338253,0.42443984442118965,0.4266785986752353,0.42445859381026463,0.42444008078952306,0.9213469279153462,0.3574450754514349,0.0008375279153434409,0.0010188479348404611,0.0015379999582366037,-0.0007528926303631996,2.0006184648373298e-06,0.0007871079463382416,0,0.3844105790132335,,1e-24,19999,0.998869574930945,0.9999984249023505,1732,True,0.09360306849836084,3688,True,0.09406512540523966,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,1.0,5,128,2048,0.002,0.002,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09310474632377874,0.08916243845945093,0.0014547616613090428,0.00013403843913611935,0.4243305166870509,0.42551888448413155,0.42434820666708084,0.4243307537181763,0.9212282602245507,0.3574450754514349,0.0006484604986666959,0.0009382029091922524,0.000790193570712763,-0.0006566849431881573,5.298116115182317e-07,0.00013403843913612387,0,0.3589365520159683,,1e-24,19999,0.9974929658871152,0.999998455345775,909,True,0.09318169906820795,1901,True,0.09342684512935011,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,10.0,5,128,2048,0.002,0.02,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09278706435058391,0.09265641850964045,0.0014497978804778736,-0.00018364353405871114,0.42421111968527536,0.42443971265403724,0.42423349272781785,0.42421135684416317,0.9210986449280698,0.3574450754514349,0.00045253761770201213,0.0008834484268507024,0.00035919601091241495,-0.000542839544971204,6.225874840795305e-17,-0.00018364353405872687,0,0.3562660485460324,,1e-24,19999,0.9836708518574889,0.999998837326826,159,True,0.09307838725768917,330,True,0.09311933329533459,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,100.0,5,128,2048,0.002,0.2,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09283985007981446,0.09413500323216556,0.001450622657497101,-0.00013085780482816056,0.42403446587235416,0.424160645096363,0.42413724804358544,0.4240346951932997,0.920906830459303,0.3574450754514349,0.0004254035166881086,0.0010116904413466923,0.0002864679834182352,-0.000417325788246483,7.864808522835724e-17,-0.00013085780482816915,0,0.3557000653749332,,1e-24,19999,0.8453995064956896,1.0000007122607288,17,True,0.09298295724742567,34,True,0.09298744716991145,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.0001,5,128,2048,0.002,2.0000000000000002e-07,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.0938337282251269,0.0937755521079522,0.0014661520035176077,0.0008630203404842718,0.08011253197965741,0.08155709285441724,0.08029085987026052,0.08011251431932875,0.7153107174382209,0.41404661275134463,0.0007369040711615901,0.006992798507097876,-0.00035939095046614146,0.001222411290950451,-4.7211473694427276e-17,0.0008630203404842625,0,0.4174460478070037,,1e-24,19999,0.9982501091355425,1.0000020505354827,706,True,0.09278391196211656,2224,True,0.09273630254613414,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.001,5,128,2048,0.002,2e-06,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.09383375788480802,0.09377814272571416,0.0014661524669501253,0.0008630500001653996,0.08011271563565742,0.08155554526192138,0.08029110004837862,0.08011269796898826,0.7153115373256975,0.41404661275134463,0.0007366300423944103,0.006993052975137151,-0.000358950488215163,0.0012220004883806584,-9.036261940810551e-17,0.0008630500001654049,0,0.41739356293276453,,1e-24,19999,0.9982474980532289,1.0000020515239443,705,True,0.09278415664947257,2222,True,0.09273656005274675,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.01,5,128,2048,0.002,2e-05,core_N128_s5,0,20000,20000,20000,0,True,20000,0.09297070788464262,0.093834065438125,0.09380388634854085,0.0014661572724707032,0.0008633575534823801,0.08011451909399325,0.08154030772356292,0.08029346510812345,0.08011450136430262,0.7153195883728339,0.41404661275134463,0.0007339193019559666,0.006995542143691237,-0.0003545974237945169,0.001217954977276855,2.3483622119962983e-17,0.0008633575534823616,0,0.4168753533463759,,1e-24,19999,0.9982213964195589,1.0000020602384,695,True,0.09278659228478266,2202,True,0.09273910611079993,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
