id,horizon,mean_relative_mse,mean_mse,median_mse,q90_mse,median_relative_mse,q90_relative_mse,best_relative_mse
ssbroyden_N512_s1_neighbor_sine_5b6b76c68533,20000,2.5663193617609176e-21,2.5663193617609176e-21,2.5257325637088767e-21,3.018322903163729e-21,2.5257325637088767e-21,3.018322903163729e-21,2.0293566780977602e-21
ssbroyden_N512_s1_individual_sine_130d84c93236,20000,1.4412121224523308e-20,1.4412121224523308e-20,1.1208387719779184e-20,2.1169681414596048e-20,1.1208387719779184e-20,2.1169681414596048e-20,9.675886414849673e-21
ssbroyden_N512_s0_individual_sine_8fab96c1740d,20000,1.6816732709480946e-20,1.6816732709480946e-20,1.6763925137245272e-20,2.147465354280052e-20,1.6763925137245272e-20,2.147465354280052e-20,1.1680372660090556e-20
ssbroyden_N128_s0_individual_sine_39989653d043,20000,1.1121118924740143e-19,1.1121118924740143e-19,1.0893431389146338e-19,1.4099910377667457e-19,1.0893431389146338e-19,1.4099910377667457e-19,7.701307992086027e-20
ssbroyden_N128_s0_individual_sine_54a746566645,20000,1.1184778402459204e-19,1.1184778402459204e-19,1.0527058396201766e-19,1.4489205249125624e-19,1.0527058396201766e-19,1.4489205249125624e-19,8.00961227246668e-20
ssbroyden_N128_s0_individual_sine_e42142c4b57f,20000,1.6251291342750738e-19,1.6251291342750738e-19,1.5498098064922921e-19,2.1533177164098894e-19,1.5498098064922921e-19,2.1533177164098894e-19,1.0411626494205209e-19
ssbroyden_N128_s0_individual_sine_62d3ae71af1e,20000,1.6637295321694505e-19,1.6637295321694505e-19,1.6245076484590831e-19,2.0268995974370432e-19,1.6245076484590831e-19,2.0268995974370432e-19,1.306409679708626e-19
ssbroyden_N128_s1_neighbor_sine_c2d0d9af8421,20000,1.8545900245649734e-19,1.8545900245649734e-19,1.7533807110991859e-19,2.5558564529940614e-19,1.7533807110991859e-19,2.5558564529940614e-19,1.1973313731978042e-19
ssbroyden_N128_s1_neighbor_sine_5bfd033d73c3,20000,3.224040759518139e-19,3.224040759518139e-19,3.037997384944483e-19,4.360920137065552e-19,3.037997384944483e-19,4.360920137065552e-19,2.0040509474572223e-19
ssbroyden_N128_s0_individual_sine_f2df73c9a61e,20000,4.561725837482943e-19,4.561725837482943e-19,4.371926214996145e-19,5.963868185683035e-19,4.371926214996145e-19,5.963868185683035e-19,3.07635932878884e-19
ssbroyden_N128_s1_individual_sine_8fd6b857d818,20000,4.60801051160185e-19,4.60801051160185e-19,4.2621311148724703e-19,6.229344573292292e-19,4.2621311148724703e-19,6.229344573292292e-19,2.983320672549591e-19
