JobIDRaw	JobName	State	ExitCode	ElapsedRaw	AllocTRES	Submit	Start	End
721	gamma-cap-deps	COMPLETED	0:0	17	billing=4,cpu=4,mem=16G,node=1	2026-09-21T08:54:50	2026-09-21T08:54:50	2026-09-21T08:55:07
722	gamma-cap-prepare	COMPLETED	0:0	15	billing=8,cpu=8,mem=64G,node=1	2026-09-21T09:08:47	2026-09-21T09:08:47	2026-09-21T09:09:02
723	gamma-cap-gd0	COMPLETED	0:0	1244	billing=8,cpu=8,gres/gpu=1,mem=64G,node=1	2026-09-21T09:10:21	2026-09-21T09:10:22	2026-09-21T09:31:06
724	gamma-cap-gd1	COMPLETED	0:0	1260	billing=8,cpu=8,gres/gpu=1,mem=64G,node=1	2026-09-21T09:10:21	2026-09-21T09:10:22	2026-09-21T09:31:22
725	gamma-cap-cert	FAILED	1:0	0	billing=8,cpu=8,mem=128G,node=1	2026-09-21T09:14:38	2026-09-21T09:31:06	2026-09-21T09:31:06
727	gamma-law-checks	COMPLETED	0:0	124	billing=4,cpu=4,mem=64G,node=1	2026-09-21T09:27:58	2026-09-21T09:31:06	2026-09-21T09:33:10
730	gamma-cap-search0	COMPLETED	0:0	40	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:31:59	2026-09-21T09:32:00	2026-09-21T09:32:40
731	gamma-cap-search1	COMPLETED	0:0	49	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:31:59	2026-09-21T09:32:40	2026-09-21T09:33:29
740	gamma-cap-cert	COMPLETED	0:0	2959	billing=8,cpu=8,mem=128G,node=1	2026-09-21T09:42:22	2026-09-21T09:42:22	2026-09-21T10:31:41
741	gamma-cap-search-gd0	COMPLETED	0:0	144	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:44:11	2026-09-21T09:44:11	2026-09-21T09:46:35
742	gamma-cap-search-gd1	COMPLETED	0:0	182	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:44:11	2026-09-21T09:46:35	2026-09-21T09:49:37
746	gamma-packet-check	COMPLETED	0:0	84	billing=4,cpu=4,mem=64G,node=1	2026-09-21T09:49:33	2026-09-21T09:49:37	2026-09-21T09:51:01
747	gamma-confirm-prep	COMPLETED	0:0	22	billing=4,cpu=4,mem=32G,node=1	2026-09-21T09:49:33	2026-09-21T09:51:01	2026-09-21T09:51:23
754	gamma-cap-search2	COMPLETED	0:0	1145	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:53:54	2026-09-21T09:53:55	2026-09-21T10:13:00
755	gamma-cap-search3	COMPLETED	0:0	1451	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T09:53:54	2026-09-21T10:13:00	2026-09-21T10:37:11
762	gamma-cap-allcert	CANCELLED by 1003	0:0	1780	billing=6,cpu=6,mem=128G,node=1	2026-09-21T10:13:26	2026-09-21T10:31:41	2026-09-21T11:01:21
764	gamma-cap-reference	COMPLETED	0:0	19	billing=2,cpu=2,mem=64G,node=1	2026-09-21T10:16:53	2026-09-21T10:16:53	2026-09-21T10:17:12
765	gamma-cap-search2-gd	COMPLETED	0:0	145	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T10:16:53	2026-09-21T10:37:11	2026-09-21T10:39:36
766	gamma-cap-targetcert	COMPLETED	0:0	1115	billing=4,cpu=4,mem=64G,node=1	2026-09-21T10:17:56	2026-09-21T10:31:41	2026-09-21T10:50:16
767	gamma-cap-long8	COMPLETED	0:0	1403	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T10:24:53	2026-09-21T10:39:36	2026-09-21T11:02:59
768	gamma-cap-overlap	COMPLETED	0:0	1647	billing=4,cpu=4,mem=64G,node=1	2026-09-21T10:24:53	2026-09-21T10:50:16	2026-09-21T11:17:43
769	gamma-cap-lbfgs	COMPLETED	0:0	116	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T10:28:19	2026-09-21T10:55:11	2026-09-21T10:57:07
770	gamma-cap-confirm0	COMPLETED	0:0	1101	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T10:30:34	2026-09-21T10:57:07	2026-09-21T11:15:28
771	gamma-cap-confirm1	COMPLETED	0:0	1126	billing=2,cpu=2,gres/gpu=1,mem=64G,node=1	2026-09-21T10:30:34	2026-09-21T11:02:59	2026-09-21T11:21:45
